Loan_ID,Farmer_ID,Enterprise_ID,Loan_Amount,Interest_Rate,Loan_Date,Loan_Use_Status,Loan_Repayment_Amount,Repayment_Date,Duration_Months,Loan_Use_Duration,Credit_Worthiness_Status,Loan_Asset_Ratio,OpEx_Income_Ratio,Loan_Source,Loan_Supervision_Frequency,Distance_to_Lender,Disbursement_Lag,Has_Defaulted,Default_Reason,Prior_Loan_Repayment_Rate_Master,Prior_Loan_Repayment_History_Master,Prior_Loan_Purpose_Master,Farmer_Credit_Score_General_Master
LOAN_0000497,FARMER_02069,ENT_002069,1325000,9.4,2017-04-27,Yes,954000,2018-03-20,12,5,Non-creditworthy,2.77,0.47,Microfinance Bank,5,65.4,4,No,N/A,0.72,Fair,Storage Construction,556
LOAN_0000498,FARMER_02073,ENT_002073,860000,7.9,2021-06-18,Yes,240800,2021-11-18,6,6,Non-creditworthy,0.67,0.71,Commercial Bank,1,87.6,1,Yes,Illness of Farmer,0.28,Poor,Storage Construction,742
LOAN_0000499,FARMER_02076,ENT_002076,650000,7.6,2018-05-14,No,565500,2019-03-21,12,3,Creditworthy,1.54,0.73,Government Program,3,91.4,0,No,N/A,0.87,Good,Land Expansion,315
LOAN_0000500,FARMER_02080,ENT_002080,785000,24.5,2024-03-27,Yes,0,,6,6,Non-creditworthy,1.02,0.64,Informal Lender,5,59.2,4,No,N/A,0.0,None,Mechanization Loan,415
LOAN_0000501,FARMER_02081,ENT_002081,1350000,25.6,2023-11-09,Yes,634500,2024-02-07,36,33,Non-creditworthy,0.76,0.45,Microfinance Bank,1,55.8,3,Yes,Drought/Flood,0.47,Poor,Asset Acquisition,657
LOAN_0000502,FARMER_02086,ENT_002086,1195000,28.5,2024-02-28,Yes,1171100,2024-11-09,24,15,Non-creditworthy,0.4,0.61,Commercial Bank,4,10.8,2,No,N/A,0.98,Excellent,Input Loan,550
LOAN_0000503,FARMER_02088,ENT_002088,340000,32.1,2022-09-29,No,0,,12,6,Creditworthy,0.19,0.77,Family/Friends,4,18.9,3,No,N/A,0.0,None,Input Loan,535
LOAN_0000504,FARMER_02089,ENT_002089,1060000,10.6,2024-01-07,No,1060000,2024-06-10,6,5,Non-creditworthy,0.89,0.62,Cooperative,4,54.4,5,No,N/A,1.0,Excellent,Processing Equipment,479
LOAN_0000505,FARMER_02091,ENT_002091,435000,26.0,2015-06-06,No,234900,2015-08-16,6,2,Creditworthy,0.1,0.73,Cooperative,3,34.6,5,No,N/A,0.54,Fair,Land Expansion,592
LOAN_0000506,FARMER_02097,ENT_002097,5150000,23.5,2024-02-15,Yes,978500,2024-06-25,36,6,Non-creditworthy,2.37,0.72,Cooperative,0,8.7,6,Yes,Input Price Hike,0.19,Poor,Mechanization Loan,438
LOAN_0000507,FARMER_02103,ENT_002103,2145000,16.1,2019-11-29,Yes,0,,24,7,Non-creditworthy,1.21,0.53,Family/Friends,4,72.2,2,No,N/A,0.0,None,Asset Acquisition,717
LOAN_0000508,FARMER_02105,ENT_002105,4735000,24.6,2017-05-05,No,3977400,2018-04-14,12,12,Creditworthy,1.84,0.79,Cooperative,4,15.0,0,No,N/A,0.84,Good,Input Loan,314
LOAN_0000509,FARMER_02106,ENT_002106,545000,16.0,2019-09-24,No,528650,2020-04-13,36,14,Non-creditworthy,0.88,0.45,Cooperative,0,32.5,6,No,N/A,0.97,Excellent,Input Loan,535
LOAN_0000510,FARMER_02107,ENT_002107,2725000,17.7,2023-04-17,Yes,2234500,2024-11-11,24,5,Creditworthy,1.08,0.56,Informal Lender,3,55.8,1,No,N/A,0.82,Good,Mechanization Loan,662
LOAN_0000511,FARMER_02114,ENT_002114,1325000,34.1,2021-07-25,Yes,1232250,2021-12-19,12,1,Non-creditworthy,0.76,0.69,Bank of Agriculture,1,31.0,4,No,N/A,0.93,Good,Land Expansion,383
LOAN_0000512,FARMER_02117,ENT_002117,6755000,13.3,2016-12-13,No,0,,36,13,Non-creditworthy,3.05,0.73,Government Program,5,85.8,0,No,N/A,0.0,None,Storage Construction,426
LOAN_0000513,FARMER_02120,ENT_002120,1620000,11.8,2017-11-25,Yes,1377000,2019-12-24,36,34,Creditworthy,1.74,0.5,Government Program,0,98.7,3,No,N/A,0.85,Good,Storage Construction,710
LOAN_0000514,FARMER_02122,ENT_002122,1915000,22.4,2023-07-01,No,1761800,2023-09-20,12,12,Non-creditworthy,8.15,0.58,Family/Friends,5,97.5,0,No,N/A,0.92,Good,Processing Equipment,330
LOAN_0000515,FARMER_02124,ENT_002124,9560000,25.5,2023-08-22,No,8317200,2025-05-07,36,30,Non-creditworthy,3.69,0.61,Microfinance Bank,2,69.9,4,No,N/A,0.87,Good,Storage Construction,711
LOAN_0000516,FARMER_02129,ENT_002129,775000,10.7,2020-06-18,Yes,0,,18,16,Creditworthy,0.91,0.74,Bank of Agriculture,0,89.9,1,No,N/A,0.0,None,Bundled Services Loan,586
LOAN_0000517,FARMER_02130,ENT_002130,1945000,24.0,2015-10-13,No,1692150,2017-06-01,24,8,Creditworthy,1.67,0.66,Informal Lender,1,76.4,3,No,N/A,0.87,Good,Bundled Services Loan,568
LOAN_0000518,FARMER_02131,ENT_002131,720000,24.4,2022-04-06,No,388800,2023-02-21,36,4,Creditworthy,3.21,0.52,Government Program,1,50.6,2,No,N/A,0.54,Fair,Land Expansion,322
LOAN_0000519,FARMER_02138,ENT_002138,2555000,19.8,2020-07-21,Yes,2044000,2021-03-03,12,11,Creditworthy,5.62,0.54,Family/Friends,4,65.5,5,No,N/A,0.8,Good,Mechanization Loan,408
LOAN_0000520,FARMER_02146,ENT_002146,615000,31.8,2022-07-17,No,196800,2023-09-03,18,6,Non-creditworthy,1.38,0.54,Commercial Bank,2,15.1,2,Yes,Other,0.32,Poor,Land Expansion,516
LOAN_0000521,FARMER_02150,ENT_002150,1520000,21.2,2015-05-03,No,1459200,2016-03-25,12,5,Non-creditworthy,0.67,0.56,Family/Friends,3,35.1,3,No,N/A,0.96,Excellent,Mechanization Loan,675
LOAN_0000522,FARMER_02156,ENT_002156,260000,15.6,2018-12-30,No,234000,2019-06-28,6,2,Creditworthy,0.13,0.56,Microfinance Bank,2,63.4,5,No,N/A,0.9,Good,Asset Acquisition,697
LOAN_0000523,FARMER_02164,ENT_002164,6275000,12.9,2015-10-13,No,6149500,2016-02-13,6,4,Creditworthy,1.84,0.76,Informal Lender,2,84.6,6,No,N/A,0.98,Excellent,Input Loan,607
LOAN_0000524,FARMER_02167,ENT_002167,5540000,26.6,2021-03-06,Yes,4487400,2022-07-12,24,6,Creditworthy,2.27,0.74,Bank of Agriculture,3,25.0,4,No,N/A,0.81,Good,Working Capital,734
LOAN_0000525,FARMER_02170,ENT_002170,5785000,20.4,2024-01-10,No,0,,18,17,Creditworthy,3.76,0.4,Commercial Bank,4,37.2,1,No,N/A,0.0,None,Asset Acquisition,586
LOAN_0000526,FARMER_02179,ENT_002179,460000,22.3,2018-05-23,No,335800,2018-07-21,12,8,Creditworthy,2.61,0.54,Informal Lender,1,60.5,6,No,N/A,0.73,Fair,Working Capital,582
LOAN_0000527,FARMER_02184,ENT_002184,510000,26.1,2022-10-02,Yes,469200,2023-03-03,6,2,Creditworthy,0.16,0.42,Microfinance Bank,4,41.7,4,No,N/A,0.92,Good,Storage Construction,386
LOAN_0000528,FARMER_02192,ENT_002192,315000,8.7,2022-06-02,No,286650,2023-06-22,18,11,Non-creditworthy,1.02,0.43,Microfinance Bank,0,45.4,3,No,N/A,0.91,Good,Working Capital,807
LOAN_0000529,FARMER_02193,ENT_002193,1535000,30.3,2018-04-29,No,0,,24,9,Creditworthy,1.27,0.41,Bank of Agriculture,2,38.9,3,No,N/A,0.0,None,Processing Equipment,839
LOAN_0000530,FARMER_02195,ENT_002195,975000,33.4,2019-11-23,No,234000,2020-09-21,36,33,Non-creditworthy,0.75,0.76,Commercial Bank,0,91.7,6,Yes,Input Price Hike,0.24,Poor,Working Capital,498
LOAN_0000531,FARMER_02196,ENT_002196,490000,24.6,2019-03-09,Yes,308700,2019-09-18,18,11,Creditworthy,0.55,0.59,Informal Lender,2,29.1,6,No,N/A,0.63,Fair,Land Expansion,663
LOAN_0000532,FARMER_02199,ENT_002199,245000,14.8,2018-02-15,Yes,230300,2020-08-20,36,24,Creditworthy,0.4,0.56,Cooperative,1,70.6,5,No,N/A,0.94,Good,Asset Acquisition,471
LOAN_0000533,FARMER_02202,ENT_002202,1675000,22.4,2015-08-22,Yes,536000,2017-08-01,36,31,Non-creditworthy,0.53,0.8,Cooperative,3,71.6,3,Yes,Pest Attack,0.32,Poor,Input Loan,326
LOAN_0000534,FARMER_02203,ENT_002203,4070000,14.9,2021-10-03,Yes,4029300,2022-01-31,6,5,Non-creditworthy,3.08,0.5,Informal Lender,0,87.8,4,No,N/A,0.99,Excellent,Working Capital,759
LOAN_0000535,FARMER_02214,ENT_002214,2290000,31.2,2022-04-03,No,2221300,2024-10-09,36,10,Creditworthy,1.06,0.63,Family/Friends,2,8.2,3,No,N/A,0.97,Excellent,Working Capital,680
LOAN_0000536,FARMER_02217,ENT_002217,4020000,15.1,2023-07-23,No,0,,24,9,Non-creditworthy,1.16,0.48,Informal Lender,3,54.8,2,No,N/A,0.0,None,Working Capital,656
LOAN_0000537,FARMER_02225,ENT_002225,545000,18.7,2016-06-26,No,168950,2017-02-03,12,5,Non-creditworthy,0.42,0.4,Government Program,0,83.7,0,Yes,Low/Poor Yield,0.31,Poor,Processing Equipment,437
LOAN_0000538,FARMER_02227,ENT_002227,7660000,34.9,2015-07-13,Yes,7047200,2017-03-17,24,16,Creditworthy,6.04,0.64,Microfinance Bank,4,48.2,6,No,N/A,0.92,Good,Mechanization Loan,700
LOAN_0000539,FARMER_02228,ENT_002228,1065000,15.3,2022-02-24,Yes,0,,12,5,Non-creditworthy,1.09,0.76,Bank of Agriculture,5,10.7,2,No,N/A,0.0,None,Bundled Services Loan,609
LOAN_0000540,FARMER_02234,ENT_002234,1475000,29.7,2023-10-01,No,0,,18,4,Creditworthy,4.25,0.44,Government Program,0,45.8,1,No,N/A,0.0,None,Storage Construction,512
LOAN_0000541,FARMER_02235,ENT_002235,4470000,15.9,2023-04-22,Yes,3665400,2023-07-13,12,12,Non-creditworthy,4.34,0.42,Family/Friends,1,77.7,5,No,N/A,0.82,Good,Mechanization Loan,671
LOAN_0000542,FARMER_02243,ENT_002243,345000,21.3,2015-09-02,No,317400,2016-12-13,18,18,Non-creditworthy,0.33,0.6,Family/Friends,1,84.9,4,No,N/A,0.92,Good,Storage Construction,635
LOAN_0000543,FARMER_02259,ENT_002259,7190000,9.3,2023-02-25,Yes,3307400,2023-12-11,24,2,Non-creditworthy,4.36,0.62,Government Program,3,28.6,1,Yes,Diversion of Funds,0.46,Poor,Processing Equipment,402
LOAN_0000544,FARMER_02260,ENT_002260,630000,32.7,2016-08-03,Yes,554400,2017-01-02,24,14,Non-creditworthy,1.24,0.52,Informal Lender,0,13.4,2,No,N/A,0.88,Good,Processing Equipment,497
LOAN_0000545,FARMER_02262,ENT_002262,505000,22.2,2015-11-06,No,439350,2016-10-27,18,10,Creditworthy,0.34,0.53,Government Program,5,2.9,6,No,N/A,0.87,Good,Processing Equipment,818
LOAN_0000546,FARMER_02264,ENT_002264,200000,12.4,2021-09-30,Yes,54000,2022-09-02,18,12,Non-creditworthy,0.54,0.43,Bank of Agriculture,1,35.2,5,Yes,Input Price Hike,0.27,Poor,Processing Equipment,678
LOAN_0000547,FARMER_02268,ENT_002268,2345000,32.1,2016-03-23,Yes,1524250,2017-06-29,36,3,Creditworthy,2.14,0.52,Family/Friends,3,15.5,5,No,N/A,0.65,Fair,Bundled Services Loan,665
LOAN_0000548,FARMER_02270,ENT_002270,120000,10.9,2014-12-05,Yes,74400,2015-07-22,12,2,Creditworthy,0.54,0.74,Family/Friends,4,83.0,4,No,N/A,0.62,Fair,Storage Construction,566
LOAN_0000549,FARMER_02275,ENT_002275,770000,14.4,2024-05-01,Yes,154000,2024-12-29,18,16,Non-creditworthy,1.93,0.55,Cooperative,2,1.5,0,Yes,Illness of Farmer,0.2,Poor,Land Expansion,835
LOAN_0000550,FARMER_02297,ENT_002297,2665000,32.3,2023-08-30,Yes,2611700,2024-04-14,24,4,Creditworthy,6.54,0.76,Cooperative,3,69.9,3,No,N/A,0.98,Excellent,Working Capital,373
LOAN_0000551,FARMER_02306,ENT_002306,2910000,30.9,2022-07-31,Yes,2822700,2023-01-28,12,8,Non-creditworthy,2.88,0.62,Government Program,2,33.9,6,No,N/A,0.97,Excellent,Working Capital,840
LOAN_0000552,FARMER_02310,ENT_002310,3815000,34.8,2024-04-27,Yes,686700,2024-06-14,36,3,Non-creditworthy,1.99,0.6,Informal Lender,0,39.4,2,Yes,Policy Change,0.18,Poor,Processing Equipment,512
LOAN_0000553,FARMER_02315,ENT_002315,5375000,29.0,2023-07-25,No,3655000,2025-05-07,24,21,Creditworthy,3.31,0.72,Cooperative,3,70.2,2,No,N/A,0.68,Fair,Mechanization Loan,318
LOAN_0000554,FARMER_02321,ENT_002321,375000,6.5,2014-12-06,Yes,0,,24,14,Creditworthy,0.53,0.71,Microfinance Bank,1,41.3,1,No,N/A,0.0,None,Asset Acquisition,502
LOAN_0000555,FARMER_02324,ENT_002324,4360000,15.1,2020-10-10,No,0,,6,2,Creditworthy,3.26,0.78,Cooperative,1,7.7,2,No,N/A,0.0,None,Input Loan,686
LOAN_0000556,FARMER_02330,ENT_002330,980000,24.3,2019-12-05,No,872200,2020-05-14,6,6,Creditworthy,5.73,0.47,Government Program,3,7.6,4,No,N/A,0.89,Good,Mechanization Loan,556
LOAN_0000557,FARMER_02332,ENT_002332,1500000,31.0,2023-09-04,Yes,315000,2024-10-31,36,24,Non-creditworthy,1.94,0.61,Microfinance Bank,0,84.5,2,Yes,Other,0.21,Poor,Mechanization Loan,844
LOAN_0000558,FARMER_02343,ENT_002343,2340000,18.8,2020-09-11,Yes,0,,18,3,Creditworthy,1.26,0.49,Family/Friends,1,27.5,0,No,N/A,0.0,None,Processing Equipment,405
LOAN_0000559,FARMER_02345,ENT_002345,305000,10.3,2018-12-23,No,289750,2020-01-06,36,4,Non-creditworthy,0.79,0.7,Family/Friends,1,30.7,1,No,N/A,0.95,Excellent,Mechanization Loan,734
LOAN_0000560,FARMER_02347,ENT_002347,3515000,8.5,2021-06-12,No,1265400,2021-09-07,6,4,Non-creditworthy,4.05,0.67,Bank of Agriculture,5,71.8,6,Yes,Pest Attack,0.36,Poor,Input Loan,537
LOAN_0000561,FARMER_02349,ENT_002349,50000,29.1,2022-07-26,No,5000,2022-11-20,12,12,Non-creditworthy,0.18,0.6,Microfinance Bank,5,83.0,6,Yes,Pest Attack,0.1,Poor,Storage Construction,465
LOAN_0000562,FARMER_02352,ENT_002352,1205000,13.7,2021-09-27,No,976050,2021-12-17,12,8,Creditworthy,0.62,0.77,Microfinance Bank,3,76.9,0,No,N/A,0.81,Good,Bundled Services Loan,676
LOAN_0000563,FARMER_02355,ENT_002355,140000,23.1,2022-04-11,Yes,113400,2022-08-03,18,9,Creditworthy,0.12,0.66,Bank of Agriculture,2,18.2,2,No,N/A,0.81,Good,Mechanization Loan,736
LOAN_0000564,FARMER_02358,ENT_002358,5780000,9.6,2022-12-20,Yes,5548800,2024-05-04,36,15,Creditworthy,5.59,0.67,Microfinance Bank,2,18.7,4,No,N/A,0.96,Excellent,Mechanization Loan,618
LOAN_0000565,FARMER_02362,ENT_002362,270000,23.4,2016-12-11,No,178200,2018-04-05,18,3,Creditworthy,1.06,0.48,Cooperative,3,87.8,5,No,N/A,0.66,Fair,Input Loan,651
LOAN_0000566,FARMER_02370,ENT_002370,1820000,14.5,2019-08-19,No,1765400,2022-03-14,36,25,Creditworthy,3.74,0.77,Microfinance Bank,3,67.4,4,No,N/A,0.97,Excellent,Bundled Services Loan,649
LOAN_0000567,FARMER_02380,ENT_002380,300000,30.1,2023-02-22,No,87000,2025-05-07,36,28,Non-creditworthy,0.59,0.74,Microfinance Bank,5,41.7,2,Yes,Pest Attack,0.29,Poor,Mechanization Loan,314
LOAN_0000568,FARMER_02392,ENT_002392,365000,13.1,2020-02-11,Yes,102200,2022-01-05,36,29,Non-creditworthy,0.5,0.69,Cooperative,3,33.5,6,Yes,Diversion of Funds,0.28,Poor,Storage Construction,850
LOAN_0000569,FARMER_02397,ENT_002397,4445000,14.0,2014-11-29,No,1689100,2015-04-23,6,4,Non-creditworthy,3.06,0.74,Family/Friends,2,15.5,3,Yes,Input Price Hike,0.38,Poor,Land Expansion,752
LOAN_0000570,FARMER_02399,ENT_002399,2090000,34.6,2017-07-29,No,1274900,2017-09-06,24,16,Creditworthy,4.27,0.52,Cooperative,4,5.8,4,No,N/A,0.61,Fair,Input Loan,512
LOAN_0000571,FARMER_02400,ENT_002400,870000,23.2,2022-07-20,Yes,774300,2022-10-11,12,3,Non-creditworthy,1.73,0.66,Bank of Agriculture,3,36.0,2,No,N/A,0.89,Good,Bundled Services Loan,527
LOAN_0000572,FARMER_02414,ENT_002414,2175000,19.8,2023-12-23,Yes,1892250,2024-05-29,6,3,Creditworthy,1.18,0.45,Government Program,5,84.1,6,No,N/A,0.87,Good,Storage Construction,310
LOAN_0000573,FARMER_02417,ENT_002417,6835000,29.9,2023-02-11,No,4647800,2024-05-29,24,8,Non-creditworthy,4.39,0.48,Cooperative,0,47.6,1,No,N/A,0.68,Fair,Asset Acquisition,548
LOAN_0000574,FARMER_02419,ENT_002419,315000,9.2,2023-10-19,No,220500,2024-02-25,18,2,Non-creditworthy,0.52,0.78,Microfinance Bank,2,14.1,0,No,N/A,0.7,Fair,Land Expansion,775
LOAN_0000575,FARMER_02420,ENT_002420,2210000,10.5,2022-05-10,No,2099500,2022-09-03,18,2,Creditworthy,1.5,0.41,Cooperative,2,18.9,5,No,N/A,0.95,Excellent,Input Loan,667
LOAN_0000576,FARMER_02422,ENT_002422,2690000,15.4,2022-11-14,Yes,2609300,2023-03-17,6,3,Creditworthy,1.03,0.61,Cooperative,5,48.7,4,No,N/A,0.97,Excellent,Working Capital,472
LOAN_0000577,FARMER_02424,ENT_002424,1065000,18.5,2014-09-05,Yes,0,,12,3,Non-creditworthy,1.23,0.56,Microfinance Bank,3,89.6,3,No,N/A,0.0,None,Processing Equipment,488
LOAN_0000578,FARMER_02431,ENT_002431,1480000,8.4,2019-05-14,Yes,873200,2019-08-17,18,17,Creditworthy,0.59,0.75,Cooperative,4,36.5,5,No,N/A,0.59,Fair,Asset Acquisition,758
LOAN_0000579,FARMER_02432,ENT_002432,270000,16.1,2023-05-30,No,0,,12,11,Non-creditworthy,4.74,0.41,Family/Friends,0,27.6,5,No,N/A,0.0,None,Land Expansion,746
LOAN_0000580,FARMER_02441,ENT_002441,1430000,6.1,2023-03-26,Yes,829400,2023-11-21,12,8,Non-creditworthy,1.6,0.8,Informal Lender,4,12.6,6,No,N/A,0.58,Fair,Asset Acquisition,329
LOAN_0000581,FARMER_02446,ENT_002446,310000,32.3,2023-06-16,Yes,139500,2023-10-09,6,2,Non-creditworthy,1.37,0.68,Informal Lender,3,96.4,1,Yes,Diversion of Funds,0.45,Poor,Asset Acquisition,320
LOAN_0000582,FARMER_02456,ENT_002456,805000,24.8,2022-10-03,Yes,0,,6,6,Non-creditworthy,0.5,0.47,Family/Friends,5,89.6,2,No,N/A,0.0,None,Storage Construction,474
LOAN_0000583,FARMER_02457,ENT_002457,1070000,11.2,2020-06-20,No,706200,2022-02-22,24,8,Non-creditworthy,2.42,0.76,Commercial Bank,3,31.7,2,No,N/A,0.66,Fair,Land Expansion,808
LOAN_0000584,FARMER_02459,ENT_002459,7920000,7.8,2020-03-07,Yes,7840800,2021-01-04,12,5,Non-creditworthy,6.46,0.8,Microfinance Bank,4,52.3,3,No,N/A,0.99,Excellent,Input Loan,773
LOAN_0000585,FARMER_02470,ENT_002470,995000,32.6,2024-04-01,Yes,815900,2025-05-07,36,8,Non-creditworthy,0.93,0.48,Commercial Bank,2,48.8,3,No,N/A,0.82,Good,Land Expansion,335
LOAN_0000586,FARMER_02471,ENT_002471,880000,18.3,2019-05-30,Yes,299200,2020-05-14,12,11,Non-creditworthy,1.67,0.54,Bank of Agriculture,3,8.1,5,Yes,Market Loss,0.34,Poor,Storage Construction,369
LOAN_0000587,FARMER_02472,ENT_002472,555000,28.3,2021-07-01,Yes,549450,2022-05-19,18,13,Non-creditworthy,0.27,0.4,Cooperative,0,56.1,2,No,N/A,0.99,Excellent,Mechanization Loan,397
LOAN_0000588,FARMER_02479,ENT_002479,900000,17.1,2023-04-22,Yes,810000,2024-01-22,18,15,Non-creditworthy,1.07,0.49,Commercial Bank,0,51.2,1,No,N/A,0.9,Good,Land Expansion,558
LOAN_0000589,FARMER_02480,ENT_002480,560000,29.8,2018-12-27,No,330400,2019-08-06,24,6,Non-creditworthy,0.86,0.64,Cooperative,0,71.8,1,No,N/A,0.59,Fair,Storage Construction,631
LOAN_0000590,FARMER_02482,ENT_002482,1210000,7.2,2019-11-12,No,484000,2020-10-18,24,20,Non-creditworthy,0.94,0.7,Bank of Agriculture,1,43.1,4,Yes,Policy Change,0.4,Poor,Input Loan,504
LOAN_0000591,FARMER_02483,ENT_002483,305000,19.3,2023-07-19,Yes,57950,2024-05-15,24,13,Non-creditworthy,0.57,0.59,Commercial Bank,3,68.1,6,Yes,Diversion of Funds,0.19,Poor,Storage Construction,794
LOAN_0000592,FARMER_02485,ENT_002485,1320000,22.0,2022-06-19,Yes,0,,18,7,Non-creditworthy,0.7,0.49,Informal Lender,2,35.3,1,No,N/A,0.0,None,Working Capital,680
LOAN_0000593,FARMER_02487,ENT_002487,1380000,11.5,2019-09-28,Yes,607200,2020-02-13,6,1,Non-creditworthy,3.22,0.56,Family/Friends,4,49.1,5,Yes,Drought/Flood,0.44,Poor,Bundled Services Loan,614
LOAN_0000594,FARMER_02489,ENT_002489,670000,14.1,2015-01-28,No,0,,12,1,Creditworthy,1.72,0.72,Bank of Agriculture,4,49.9,0,No,N/A,0.0,None,Land Expansion,495
LOAN_0000595,FARMER_02491,ENT_002491,5085000,7.2,2024-05-02,Yes,4678200,2025-05-05,18,16,Creditworthy,5.65,0.68,Commercial Bank,0,39.8,4,No,N/A,0.92,Good,Working Capital,492
LOAN_0000596,FARMER_02493,ENT_002493,9000000,11.9,2020-03-11,No,3600000,2020-06-26,12,5,Non-creditworthy,5.1,0.63,Commercial Bank,0,72.6,1,Yes,Drought/Flood,0.4,Poor,Mechanization Loan,848
LOAN_0000597,FARMER_02496,ENT_002496,1760000,25.9,2024-01-26,Yes,1425600,2025-01-21,24,4,Creditworthy,2.76,0.42,Family/Friends,5,17.6,2,No,N/A,0.81,Good,Asset Acquisition,617
LOAN_0000598,FARMER_02498,ENT_002498,215000,11.4,2019-07-21,No,208550,2020-07-30,24,20,Creditworthy,0.37,0.63,Bank of Agriculture,2,48.9,4,No,N/A,0.97,Excellent,Bundled Services Loan,564
LOAN_0000599,FARMER_02499,ENT_002499,1350000,9.5,2016-12-13,No,1255500,2017-04-01,6,6,Creditworthy,0.9,0.69,Commercial Bank,5,96.1,2,No,N/A,0.93,Good,Storage Construction,399
LOAN_0000600,FARMER_02500,ENT_002500,850000,23.3,2019-01-11,Yes,850000,2019-09-06,12,1,Creditworthy,4.4,0.72,Informal Lender,3,30.9,3,No,N/A,1.0,Excellent,Land Expansion,401
LOAN_0000601,FARMER_02502,ENT_002502,935000,8.3,2017-05-12,No,0,,36,12,Creditworthy,1.73,0.73,Microfinance Bank,2,59.1,3,No,N/A,0.0,None,Asset Acquisition,327
LOAN_0000602,FARMER_02509,ENT_002509,1105000,24.3,2015-01-10,No,298350,2015-08-04,24,17,Non-creditworthy,0.85,0.58,Cooperative,1,49.2,0,Yes,Diversion of Funds,0.27,Poor,Storage Construction,758
LOAN_0000603,FARMER_02511,ENT_002511,1560000,16.3,2023-07-22,Yes,499200,2024-10-19,18,17,Non-creditworthy,0.59,0.6,Commercial Bank,1,81.0,1,Yes,Policy Change,0.32,Poor,Mechanization Loan,790
LOAN_0000604,FARMER_02514,ENT_002514,2820000,13.0,2023-09-21,Yes,2791800,2024-08-10,36,7,Creditworthy,1.49,0.58,Microfinance Bank,4,76.7,4,No,N/A,0.99,Excellent,Input Loan,517
LOAN_0000605,FARMER_02518,ENT_002518,255000,33.7,2015-11-11,Yes,226950,2017-05-24,36,24,Non-creditworthy,3.75,0.45,Informal Lender,5,36.4,6,No,N/A,0.89,Good,Land Expansion,365
LOAN_0000606,FARMER_02521,ENT_002521,280000,27.1,2023-09-05,No,112000,2023-12-14,6,1,Non-creditworthy,0.42,0.67,Family/Friends,5,4.2,3,Yes,Other,0.4,Poor,Land Expansion,542
LOAN_0000607,FARMER_02526,ENT_002526,4975000,25.0,2020-09-01,Yes,4378000,2022-02-28,36,11,Non-creditworthy,3.68,0.73,Family/Friends,2,18.1,6,No,N/A,0.88,Good,Asset Acquisition,845
LOAN_0000608,FARMER_02527,ENT_002527,1085000,12.0,2017-09-01,No,0,,12,3,Creditworthy,1.05,0.6,Bank of Agriculture,5,40.8,3,No,N/A,0.0,None,Bundled Services Loan,451
LOAN_0000609,FARMER_02530,ENT_002530,1640000,13.5,2022-12-11,Yes,524800,2023-03-17,6,5,Non-creditworthy,0.74,0.54,Government Program,3,42.9,4,Yes,Pest Attack,0.32,Poor,Input Loan,651
LOAN_0000610,FARMER_02531,ENT_002531,695000,31.0,2021-04-29,Yes,229350,2021-11-08,12,8,Non-creditworthy,1.82,0.64,Informal Lender,1,45.8,5,Yes,Pest Attack,0.33,Poor,Processing Equipment,638
LOAN_0000611,FARMER_02540,ENT_002540,4350000,11.8,2015-11-24,No,3567000,2016-04-01,6,4,Non-creditworthy,1.4,0.53,Family/Friends,4,65.8,3,No,N/A,0.82,Good,Asset Acquisition,639
LOAN_0000612,FARMER_02557,ENT_002557,270000,7.6,2023-02-22,Yes,261900,2023-05-12,24,2,Creditworthy,0.4,0.76,Informal Lender,4,45.2,5,No,N/A,0.97,Excellent,Bundled Services Loan,689
LOAN_0000613,FARMER_02565,ENT_002565,480000,14.7,2019-05-17,No,0,,24,7,Creditworthy,0.34,0.67,Government Program,2,76.5,5,No,N/A,0.0,None,Asset Acquisition,531
LOAN_0000614,FARMER_02569,ENT_002569,100000,6.8,2023-07-18,Yes,66000,2024-09-13,18,13,Non-creditworthy,1.92,0.67,Family/Friends,1,85.4,4,No,N/A,0.66,Fair,Storage Construction,337
LOAN_0000615,FARMER_02570,ENT_002570,820000,33.4,2024-02-08,Yes,385400,2024-07-09,6,3,Non-creditworthy,1.43,0.59,Bank of Agriculture,4,3.9,3,Yes,Market Loss,0.47,Poor,Storage Construction,490
LOAN_0000616,FARMER_02571,ENT_002571,1365000,21.2,2021-09-25,Yes,996450,2021-12-20,6,1,Non-creditworthy,0.66,0.51,Family/Friends,1,56.6,0,No,N/A,0.73,Fair,Working Capital,638
LOAN_0000617,FARMER_02574,ENT_002574,10850000,13.1,2023-07-05,No,1410500,2023-10-31,6,5,Non-creditworthy,7.92,0.6,Family/Friends,4,85.2,5,Yes,Low/Poor Yield,0.13,Poor,Mechanization Loan,780
LOAN_0000618,FARMER_02587,ENT_002587,210000,25.1,2024-02-02,No,79800,2024-12-08,24,20,Non-creditworthy,1.74,0.64,Bank of Agriculture,1,66.4,3,Yes,Pest Attack,0.38,Poor,Land Expansion,618
LOAN_0000619,FARMER_02590,ENT_002590,1620000,21.5,2023-05-24,No,1490400,2023-07-12,6,4,Creditworthy,1.61,0.63,Government Program,3,21.3,2,No,N/A,0.92,Good,Land Expansion,710
