state,age,gender,education,household_size,farm_size_hectares,primary_crop,secondary_crop,livestock_type,farming_experience_years,has_bank_account,uses_mobile_money,monthly_income_naira,off_farm_income_naira,utility_payment_score,monthly_mobile_spend_naira,has_smartphone,has_previous_loan,last_loan_amount_naira,loan_product_type,repaid_last_loan_on_time,has_default_history,cooperative_member,cooperative_repayment_rate_percent,last_utility_payment_date,last_rent_payment_date,social_media_usage,ecommerce_activity,total_income,income_per_capita,farm_size_category
Sokoto,46,Female,Tertiary,9,0.49,Cowpea,Groundnut,Pigs,17,False,False,188554,3246,518,9526,True,False,0,None,False,False,False,0,2025-02-05,2025-04-12,High,False,191800,21311.11111111111,Subsistence (<1ha)
Kano,51,Male,Secondary,7,1.56,Oil Palm,Rubber,None,31,True,False,141297,58266,806,9007,True,False,0,None,False,False,True,70,2025-03-13,2025-04-08,Low,True,199563,28509.0,Small (1-5ha)
Kebbi,42,Male,None,8,7.44,Maize,Tomato,Pigs,10,True,False,172133,28299,388,5199,True,True,86544,Farm Inputs,False,True,True,73,2025-02-20,2025-03-23,None,False,200432,25054.0,Medium (5-10ha)
Rivers,48,Female,Primary,3,5.07,Millet,Maize,Cattle,24,True,False,9681,4375,447,7423,True,False,0,None,False,False,True,88,2025-05-05,2025-04-08,Medium,False,14056,4685.333333333333,Medium (5-10ha)
Borno,65,Male,Secondary,2,9.32,Oil Palm,Yam,Fish Farming,19,False,True,125788,49809,496,1884,False,True,110224,Bundled Services,True,False,False,0,2025-05-04,2025-03-12,None,False,175597,87798.5,Medium (5-10ha)
Niger,28,Male,Secondary,10,0.57,Millet,Sorghum,Pigs,1,False,False,83323,6955,417,3280,True,False,0,None,False,False,True,92,2025-04-18,2025-03-28,Medium,False,90278,9027.8,Subsistence (<1ha)
Ondo,23,Male,Primary,4,9.6,Soybean,Groundnut,Sheep,4,False,True,169553,38355,389,6133,True,True,151404,Farm Inputs,False,True,False,0,2025-03-10,2025-05-02,High,True,207908,51977.0,Medium (5-10ha)
Ekiti,25,Female,Tertiary,4,4.03,Rice,Sorghum,Fish Farming,0,False,False,14874,7291,451,3863,False,False,0,None,False,False,True,75,2025-02-05,2025-04-05,Low,False,22165,5541.25,Small (1-5ha)
Plateau,44,Female,Secondary,7,9.72,Rubber,Sesame,None,6,False,False,151384,69467,473,5459,False,True,449230,Mechanization Services,True,False,False,0,2025-04-04,2025-04-24,High,False,220851,31550.14285714286,Medium (5-10ha)
Kano,42,Male,None,2,1.23,Soybean,Cocoa,Poultry,1,False,True,14504,885,741,2378,True,True,114338,Bundled Services,False,True,False,0,2025-04-05,2025-03-08,None,True,15389,7694.5,Small (1-5ha)
Imo,54,Male,Primary,7,6.82,Millet,Sorghum,Goats,2,False,False,73579,35168,436,5613,True,True,155048,Bundled Services,False,True,False,0,2025-03-31,2025-04-18,None,False,108747,15535.285714285714,Medium (5-10ha)
Kaduna,64,Female,Primary,12,6.12,Cassava,Yam,Fish Farming,37,True,False,128475,28368,345,8396,True,False,0,None,False,False,True,98,2025-03-06,2025-04-25,Low,False,156843,13070.25,Medium (5-10ha)
Edo,44,Male,Tertiary,9,7.87,Rubber,Vegetables,Fish Farming,1,False,True,174037,5821,792,5656,True,False,0,None,False,False,True,96,2025-04-15,2025-03-12,None,False,179858,19984.222222222223,Medium (5-10ha)
Borno,31,Female,Secondary,2,8.57,Cocoa,Yam,Cattle,5,False,True,6313,1925,375,1892,False,False,0,None,False,False,True,93,2025-04-06,2025-03-17,Medium,False,8238,4119.0,Medium (5-10ha)
Benue,33,Female,Tertiary,10,9.22,Sesame,Yam,Pigs,13,True,False,5698,1065,696,5610,False,True,290699,Farm Inputs,False,True,False,0,2025-04-12,2025-04-22,None,False,6763,676.3,Medium (5-10ha)
Kwara,62,Male,Primary,11,9.2,Soybean,None,Pigs,25,False,True,18596,8870,460,3440,True,True,262961,Bundled Services,True,False,True,97,2025-02-09,2025-03-07,High,False,27466,2496.909090909091,Medium (5-10ha)
Ebonyi,47,Female,Secondary,10,2.81,Groundnut,Millet,Pigs,18,True,False,46770,7309,490,2099,True,False,0,None,False,False,True,100,2025-04-12,2025-04-14,None,False,54079,5407.9,Small (1-5ha)
Katsina,29,Male,Primary,6,9.47,Sesame,Millet,Sheep,10,False,False,175780,63562,332,4510,True,True,203057,Farm Inputs,False,True,True,77,2025-04-27,2025-04-15,None,True,239342,39890.333333333336,Medium (5-10ha)
Kano,45,Male,Secondary,4,2.43,Rubber,Millet,Fish Farming,19,True,True,48538,11904,320,8015,False,False,0,None,False,False,False,0,2025-04-12,2025-04-25,Low,False,60442,15110.5,Small (1-5ha)
Oyo,43,Female,Tertiary,10,7.97,Rubber,Oil Palm,Pigs,22,False,False,35128,7213,503,6669,True,False,0,None,False,False,False,0,2025-04-13,2025-04-26,None,False,42341,4234.1,Medium (5-10ha)
Enugu,51,Female,None,8,6.65,Maize,Cassava,None,31,False,False,140126,15899,337,3591,False,False,0,None,False,False,True,78,2025-04-14,2025-05-05,None,False,156025,19503.125,Medium (5-10ha)
Kaduna,55,Female,Secondary,2,4.89,Sesame,Cassava,Pigs,7,True,False,112573,6852,639,9594,True,True,347849,Bundled Services,True,False,True,79,2025-03-23,2025-04-19,High,False,119425,59712.5,Small (1-5ha)
Zamfara,30,Male,None,11,6.15,Millet,Oil Palm,Fish Farming,4,False,True,178356,696,519,1989,True,False,0,None,False,False,True,74,2025-03-27,2025-04-25,None,False,179052,16277.454545454546,Medium (5-10ha)
Gombe,22,Female,Tertiary,2,5.97,Cassava,Cocoa,Fish Farming,2,True,True,123940,5470,393,7790,False,False,0,None,False,False,False,0,2025-02-12,,Low,True,129410,64705.0,Medium (5-10ha)
Kano,52,Male,Secondary,1,4.25,Tomato,Millet,Pigs,5,False,True,99354,19571,730,1502,False,True,154725,Farm Inputs,True,False,False,0,2025-04-16,2025-04-10,Low,True,118925,118925.0,Small (1-5ha)
Osun,31,Female,Primary,3,0.84,Soybean,Oil Palm,None,1,False,True,139483,4845,528,3909,False,True,74433,Mechanization Services,True,False,True,85,2025-03-05,2025-04-07,Low,False,144328,48109.333333333336,Subsistence (<1ha)
Akwa Ibom,41,Male,Primary,4,3.13,Groundnut,Millet,None,2,True,True,165468,63046,328,3708,False,False,0,None,False,False,False,0,2025-05-03,2025-04-05,Medium,False,228514,57128.5,Small (1-5ha)
Yobe,20,Male,Tertiary,7,6.24,Cowpea,Tomato,Fish Farming,2,True,False,78154,22963,555,3849,True,False,0,None,False,False,True,92,2025-05-01,,Medium,False,101117,14445.285714285714,Medium (5-10ha)
Rivers,34,Female,Primary,10,0.6,Cowpea,Tomato,Fish Farming,15,True,False,175883,5142,314,5700,False,True,219173,Mechanization Services,True,False,False,0,2025-03-12,2025-04-28,None,False,181025,18102.5,Subsistence (<1ha)
Kano,63,Male,None,2,3.98,Cocoa,Yam,Pigs,34,True,False,22010,8023,729,6564,True,True,329548,Farm Inputs,False,True,True,74,2025-03-14,2025-03-25,High,False,30033,15016.5,Small (1-5ha)
Akwa Ibom,29,Male,None,3,1.89,Cowpea,Cocoa,Sheep,1,True,False,101195,34883,354,1982,True,True,61406,Bundled Services,True,False,True,72,2025-03-05,2025-04-19,High,False,136078,45359.333333333336,Small (1-5ha)
Zamfara,41,Female,Secondary,11,3.96,Cassava,Yam,Pigs,22,True,True,24023,10576,565,5407,True,True,183902,Bundled Services,True,False,True,83,2025-04-10,2025-03-22,None,True,34599,3145.3636363636365,Small (1-5ha)
Jigawa,36,Male,Tertiary,4,0.44,Rice,None,Goats,15,True,True,66710,19147,428,4705,False,False,0,None,False,False,True,87,2025-02-07,2025-03-13,High,True,85857,21464.25,Subsistence (<1ha)
Ondo,61,Male,None,5,7.66,Yam,Rice,Pigs,41,True,False,80740,33996,338,6995,True,False,0,None,False,False,False,0,2025-02-26,2025-03-18,None,False,114736,22947.2,Medium (5-10ha)
Cross River,19,Female,Primary,12,7.05,Rubber,Cotton,None,0,False,True,68420,16243,729,8653,True,True,50569,Mechanization Services,True,False,True,71,2025-03-07,,Medium,False,84663,7055.25,Medium (5-10ha)
Kaduna,46,Female,None,10,0.9,Soybean,Rice,Pigs,3,True,True,139685,36122,735,2172,True,True,328877,Mechanization Services,True,False,True,72,2025-04-26,2025-04-20,Low,True,175807,17580.7,Subsistence (<1ha)
Enugu,55,Male,None,4,5.04,Sorghum,Cassava,None,17,True,True,192942,31541,357,5853,True,True,121216,Farm Inputs,False,True,True,72,2025-02-20,2025-04-28,Medium,False,224483,56120.75,Medium (5-10ha)
Gombe,63,Female,Tertiary,8,1.12,Vegetables,Tomato,Goats,16,False,True,44077,15329,665,1979,True,True,247194,Bundled Services,True,False,False,0,2025-04-02,2025-05-01,None,True,59406,7425.75,Small (1-5ha)
Kogi,29,Female,None,2,7.48,Maize,Cassava,Goats,6,True,False,190008,45545,508,8416,True,True,236319,Bundled Services,True,False,True,73,2025-04-20,2025-03-15,High,False,235553,117776.5,Medium (5-10ha)
Ebonyi,61,Female,Primary,2,5.41,Soybean,Maize,Cattle,10,True,True,105374,36254,678,8891,True,False,0,None,False,False,True,78,2025-02-15,2025-04-08,Medium,True,141628,70814.0,Medium (5-10ha)
Ondo,58,Female,Secondary,10,4.94,Sesame,Yam,Fish Farming,6,True,False,52741,6029,374,9781,True,True,89354,Bundled Services,False,True,False,0,2025-04-28,2025-03-12,High,False,58770,5877.0,Small (1-5ha)
Delta,47,Female,Secondary,7,6.19,Tomato,Oil Palm,Goats,9,False,False,30125,3429,685,7904,False,False,0,None,False,False,True,95,2025-04-01,2025-05-01,None,False,33554,4793.428571428572,Medium (5-10ha)
Zamfara,24,Female,Secondary,2,7.4,Cowpea,Cassava,Cattle,3,False,True,17060,1602,395,5786,True,True,192593,Mechanization Services,True,False,False,0,2025-03-25,2025-04-25,High,False,18662,9331.0,Medium (5-10ha)
Zamfara,63,Male,None,2,7.48,Vegetables,Sesame,None,42,True,True,175389,35843,601,8970,False,False,0,None,False,False,False,0,2025-02-22,2025-04-12,Medium,False,211232,105616.0,Medium (5-10ha)
Katsina,48,Female,None,10,3.45,Tomato,Yam,Cattle,27,True,False,194924,85036,612,8671,True,True,336779,Farm Inputs,True,False,True,88,2025-04-06,2025-03-17,High,False,279960,27996.0,Small (1-5ha)
Katsina,24,Male,Secondary,4,3.53,Soybean,Yam,Poultry,5,False,True,181659,44574,832,3104,False,True,297233,Bundled Services,False,True,False,0,2025-02-09,2025-04-29,High,False,226233,56558.25,Small (1-5ha)
Adamawa,38,Female,Tertiary,11,4.05,Groundnut,Soybean,Pigs,13,False,True,29700,6517,811,2581,True,False,0,None,False,False,True,86,2025-04-04,2025-04-12,High,False,36217,3292.4545454545455,Small (1-5ha)
Oyo,61,Female,Primary,3,6.71,Sorghum,Rice,None,27,False,False,146166,39852,602,9815,True,True,241281,Farm Inputs,True,False,True,79,2025-03-24,2025-03-22,High,False,186018,62006.0,Medium (5-10ha)
Benue,49,Female,None,5,6.28,Rice,Sorghum,Goats,18,False,False,128705,59469,397,3984,False,True,197230,Farm Inputs,False,True,False,0,2025-04-23,2025-04-22,High,False,188174,37634.8,Medium (5-10ha)
Adamawa,33,Female,Secondary,9,9.33,Sesame,Cassava,Sheep,11,True,False,80603,12311,678,553,False,False,0,None,False,False,True,79,2025-03-18,2025-04-06,None,False,92914,10323.777777777777,Medium (5-10ha)
Delta,28,Male,Tertiary,4,5.72,Rubber,Maize,None,3,False,True,143582,34297,428,2426,False,True,275883,Mechanization Services,True,False,True,85,2025-02-15,2025-04-24,Low,False,177879,44469.75,Medium (5-10ha)
Enugu,35,Male,None,3,4.33,Rice,Maize,Poultry,5,True,True,193136,18498,615,8348,False,True,97846,Mechanization Services,True,False,True,83,2025-04-03,2025-05-01,None,True,211634,70544.66666666667,Small (1-5ha)
Anambra,26,Male,Primary,11,9.32,Cowpea,Rubber,Poultry,8,False,False,145056,2438,623,5302,False,False,0,None,False,False,False,0,2025-03-26,2025-04-22,None,False,147494,13408.545454545454,Medium (5-10ha)
Bauchi,51,Male,Secondary,12,0.41,Yam,Soybean,Sheep,8,True,True,175947,30358,561,2333,True,False,0,None,False,False,False,0,2025-03-24,2025-03-10,Low,True,206305,17192.083333333332,Subsistence (<1ha)
Yobe,63,Male,None,2,7.12,Millet,Sorghum,Pigs,16,True,True,45190,20964,349,4350,False,True,342213,Mechanization Services,True,False,True,74,2025-04-10,2025-03-28,None,True,66154,33077.0,Medium (5-10ha)
Anambra,20,Male,Tertiary,7,1.86,Cotton,Yam,Cattle,1,False,True,139817,32833,523,8827,False,False,0,None,False,False,True,70,2025-03-11,,Medium,True,172650,24664.285714285714,Small (1-5ha)
Kaduna,23,Female,Primary,4,3.8,Millet,Vegetables,None,4,False,True,164044,30556,492,9209,False,True,105570,Mechanization Services,True,False,True,84,2025-02-21,2025-03-11,High,True,194600,48650.0,Small (1-5ha)
Bayelsa,58,Female,None,12,5.7,Vegetables,Rubber,Pigs,37,True,True,133744,21358,558,9229,False,False,0,None,False,False,False,0,2025-04-05,2025-03-19,None,True,155102,12925.166666666666,Medium (5-10ha)
Zamfara,21,Female,Secondary,4,8.94,Oil Palm,Millet,None,2,True,False,162580,48946,475,4471,True,False,0,None,False,False,True,80,2025-04-10,,High,True,211526,52881.5,Medium (5-10ha)
Ogun,44,Male,Secondary,5,5.95,Sesame,Cassava,Goats,23,True,True,63018,28091,505,5615,False,True,415060,Bundled Services,False,True,True,91,2025-05-01,2025-03-20,Low,True,91109,18221.8,Medium (5-10ha)
Anambra,62,Female,Tertiary,1,8.76,Rice,Maize,Cattle,42,True,True,101192,21279,471,7935,False,True,20194,Farm Inputs,False,True,False,0,2025-03-10,2025-05-03,Low,True,122471,122471.0,Medium (5-10ha)
Plateau,58,Female,Tertiary,8,3.67,Millet,Groundnut,Sheep,36,False,True,14914,6804,757,3866,True,True,416371,Bundled Services,False,True,True,97,2025-04-21,2025-04-04,None,False,21718,2714.75,Small (1-5ha)
Akwa Ibom,29,Male,Primary,12,8.63,Soybean,Sorghum,Sheep,1,True,True,64793,7907,566,6904,False,True,373482,Mechanization Services,True,False,False,0,2025-05-05,2025-03-16,Medium,False,72700,6058.333333333333,Medium (5-10ha)
Ekiti,55,Male,Tertiary,3,1.19,Sorghum,Yam,Poultry,11,True,False,135627,34036,460,6237,False,True,467891,Mechanization Services,False,True,True,86,2025-04-22,2025-03-11,Medium,False,169663,56554.333333333336,Small (1-5ha)
Oyo,25,Female,None,2,3.49,Rice,Vegetables,Goats,4,True,False,7322,3017,715,1515,False,False,0,None,False,False,False,0,2025-02-19,2025-04-04,High,False,10339,5169.5,Small (1-5ha)
Kogi,35,Male,Secondary,2,4.19,Sesame,Rice,Sheep,15,True,True,117385,53601,423,4060,False,False,0,None,False,False,True,97,2025-03-01,2025-03-21,High,True,170986,85493.0,Small (1-5ha)
Ebonyi,28,Male,Secondary,5,3.01,Groundnut,Millet,Goats,1,False,True,80977,34770,742,3164,True,False,0,None,False,False,False,0,2025-02-22,2025-03-26,Low,False,115747,23149.4,Small (1-5ha)
Kwara,47,Male,Secondary,8,9.26,Vegetables,None,Poultry,13,False,False,13091,2232,835,6209,True,False,0,None,False,False,True,96,2025-04-04,2025-04-23,Low,True,15323,1915.375,Medium (5-10ha)
Delta,65,Female,Secondary,3,0.12,Cowpea,Sesame,Poultry,34,True,True,89604,23774,589,4275,True,False,0,None,False,False,False,0,2025-04-30,2025-04-21,Low,True,113378,37792.666666666664,Subsistence (<1ha)
Borno,56,Female,Primary,2,4.72,Cotton,Tomato,Cattle,23,False,False,26836,592,540,3640,True,False,0,None,False,False,False,0,2025-04-06,2025-04-26,Low,False,27428,13714.0,Small (1-5ha)
Yobe,28,Male,None,7,8.26,Cocoa,None,Fish Farming,9,False,False,85413,5365,798,545,False,True,322437,Farm Inputs,True,False,True,83,2025-04-12,2025-04-28,High,False,90778,12968.285714285714,Medium (5-10ha)
Ekiti,46,Male,Primary,8,1.05,Groundnut,Cocoa,Poultry,13,False,True,7088,2148,773,6155,False,True,256595,Bundled Services,True,False,False,0,2025-03-08,2025-04-19,High,True,9236,1154.5,Small (1-5ha)
Osun,28,Male,Secondary,7,8.23,Maize,Cotton,Fish Farming,4,True,True,111537,39028,779,6394,True,False,0,None,False,False,False,0,2025-04-02,2025-03-20,None,False,150565,21509.285714285714,Medium (5-10ha)
Yobe,54,Male,None,8,0.9,Groundnut,Oil Palm,Cattle,18,True,False,8424,1395,784,1046,False,True,141672,Mechanization Services,True,False,True,94,2025-03-12,2025-04-13,High,True,9819,1227.375,Subsistence (<1ha)
Rivers,46,Male,Secondary,5,6.05,Groundnut,Rice,None,11,False,False,141401,18796,473,9999,True,False,0,None,False,False,True,100,2025-04-11,2025-04-03,Medium,False,160197,32039.4,Medium (5-10ha)
Plateau,64,Female,Primary,2,5.45,Sorghum,Millet,Cattle,22,True,False,123380,31969,372,6953,False,False,0,None,False,False,False,0,2025-02-15,2025-04-17,None,False,155349,77674.5,Medium (5-10ha)
Delta,25,Male,Secondary,12,8.12,Cassava,Maize,None,4,False,False,126615,5125,451,2727,False,True,96709,Farm Inputs,False,True,False,0,2025-02-26,2025-04-03,Low,True,131740,10978.333333333334,Medium (5-10ha)
Nasarawa,39,Male,None,12,1.96,Vegetables,Soybean,Poultry,10,False,True,140431,27530,604,7339,False,False,0,None,False,False,False,0,2025-03-10,2025-03-31,Low,False,167961,13996.75,Small (1-5ha)
Edo,57,Female,Primary,9,5.53,Cowpea,Cassava,Pigs,38,True,False,152493,25554,526,9052,False,True,400030,Mechanization Services,True,False,True,99,2025-04-24,2025-03-27,High,False,178047,19783.0,Medium (5-10ha)
Sokoto,34,Male,Tertiary,3,3.83,Soybean,Tomato,Pigs,10,False,True,114498,13548,352,6296,False,False,0,None,False,False,True,99,2025-02-24,2025-03-08,Medium,True,128046,42682.0,Small (1-5ha)
Jigawa,60,Male,None,4,8.68,Sorghum,Yam,Pigs,27,False,True,23928,6292,575,1485,True,True,252097,Farm Inputs,True,False,True,70,2025-03-30,2025-03-28,Low,False,30220,7555.0,Medium (5-10ha)
Ondo,20,Female,Secondary,2,7.28,Vegetables,Cocoa,Goats,0,True,False,155208,50724,702,8237,False,False,0,None,False,False,True,88,2025-03-02,,Medium,True,205932,102966.0,Medium (5-10ha)
Sokoto,18,Male,Secondary,1,4.76,Cocoa,Oil Palm,None,0,True,True,84597,24370,559,3086,False,True,66578,Bundled Services,False,True,True,84,2025-02-18,,Low,False,108967,108967.0,Small (1-5ha)
Adamawa,61,Male,Primary,12,7.15,Cotton,Cassava,None,22,True,False,176216,69024,789,2897,False,False,0,None,False,False,False,0,2025-04-06,2025-03-08,Medium,False,245240,20436.666666666668,Medium (5-10ha)
Borno,51,Male,Tertiary,4,7.38,Cassava,Sorghum,Poultry,9,True,True,145183,38679,813,8945,False,True,347840,Mechanization Services,True,False,True,77,2025-03-19,2025-03-24,High,True,183862,45965.5,Medium (5-10ha)
Kano,48,Male,Tertiary,12,6.93,Tomato,Cassava,Sheep,15,True,True,61525,13981,542,6923,False,True,163569,Farm Inputs,False,True,False,0,2025-02-19,2025-04-22,High,False,75506,6292.166666666667,Medium (5-10ha)
Kano,49,Female,Tertiary,12,7.38,Soybean,None,Pigs,1,False,True,41326,5122,313,7272,True,True,38920,Mechanization Services,True,False,False,0,2025-03-18,2025-04-06,Medium,False,46448,3870.6666666666665,Medium (5-10ha)
Kano,52,Male,Primary,12,6.28,Tomato,Oil Palm,Goats,7,True,False,91830,32242,411,6210,False,True,426203,Mechanization Services,True,False,True,80,2025-04-25,2025-04-29,Low,False,124072,10339.333333333334,Medium (5-10ha)
Niger,34,Female,Primary,11,3.71,Millet,Rice,Pigs,1,False,True,31912,10372,507,6403,False,False,0,None,False,False,True,94,2025-03-10,2025-03-20,High,False,42284,3844.0,Small (1-5ha)
Abia,55,Male,Tertiary,12,3.05,Cassava,Cowpea,Sheep,28,True,True,111771,40394,434,585,True,False,0,None,False,False,True,96,2025-04-22,2025-04-21,Low,False,152165,12680.416666666666,Small (1-5ha)
Akwa Ibom,44,Male,Tertiary,4,3.4,Rubber,Tomato,Poultry,10,False,True,52643,5049,526,5849,True,True,201210,Bundled Services,True,False,False,0,2025-03-15,2025-03-15,None,False,57692,14423.0,Small (1-5ha)
Imo,62,Male,Primary,12,5.22,Vegetables,Oil Palm,None,16,True,True,126668,51681,319,981,False,True,484782,Bundled Services,True,False,True,72,2025-03-12,2025-03-29,Low,False,178349,14862.416666666666,Medium (5-10ha)
Nasarawa,44,Male,Tertiary,7,2.56,Cotton,Groundnut,Goats,15,False,True,196601,10296,763,5996,True,True,467649,Bundled Services,True,False,False,0,2025-03-15,2025-03-30,High,True,206897,29556.714285714286,Small (1-5ha)
Taraba,53,Female,Primary,3,5.38,Cassava,Maize,Goats,5,False,True,55935,3286,579,5053,True,True,387246,Bundled Services,True,False,True,72,2025-02-19,2025-04-18,Medium,False,59221,19740.333333333332,Medium (5-10ha)
Oyo,50,Female,Tertiary,2,1.03,Cassava,Cocoa,Goats,15,False,True,70617,32129,540,9323,False,True,349973,Bundled Services,False,True,True,82,2025-03-04,2025-04-27,Medium,False,102746,51373.0,Small (1-5ha)
Niger,33,Male,None,11,3.64,Cocoa,Vegetables,Pigs,8,False,False,132781,61261,647,2670,True,True,260584,Farm Inputs,True,False,True,74,2025-03-24,2025-04-21,None,False,194042,17640.18181818182,Small (1-5ha)
Bayelsa,20,Male,Tertiary,4,3.18,Groundnut,Cassava,Sheep,0,True,True,191605,58983,443,4756,False,False,0,None,False,False,True,99,2025-02-21,,Low,True,250588,62647.0,Small (1-5ha)
Osun,48,Male,None,5,9.35,Cowpea,Vegetables,Goats,25,True,False,60497,19671,376,7750,True,True,187480,Farm Inputs,True,False,False,0,2025-02-05,2025-04-11,None,False,80168,16033.6,Medium (5-10ha)
Kogi,62,Female,Tertiary,10,2.46,Sesame,Maize,Poultry,3,True,False,162386,61512,521,1225,False,False,0,None,False,False,True,94,2025-02-22,2025-04-29,None,False,223898,22389.8,Small (1-5ha)
Plateau,64,Female,Primary,7,6.89,Rice,Maize,Cattle,10,False,True,154582,31992,367,4552,False,False,0,None,False,False,True,77,2025-04-26,2025-03-28,Low,False,186574,26653.428571428572,Medium (5-10ha)
Osun,24,Female,None,3,9.49,Tomato,Millet,Cattle,4,True,False,195590,71157,689,3456,True,False,0,None,False,False,True,91,2025-04-06,2025-03-14,High,True,266747,88915.66666666667,Medium (5-10ha)
Sokoto,43,Male,None,5,4.8,Rubber,Cassava,Goats,8,False,False,191947,78206,818,2314,True,False,0,None,False,False,False,0,2025-02-11,2025-04-24,None,False,270153,54030.6,Small (1-5ha)
Osun,24,Male,None,8,3.77,Rice,Cotton,None,0,False,False,39805,5570,525,5839,False,True,257996,Farm Inputs,False,True,True,85,2025-04-22,2025-03-29,Medium,False,45375,5671.875,Small (1-5ha)
Kano,50,Female,Primary,5,7.79,Sorghum,Rubber,Sheep,14,True,False,174750,12120,516,9372,False,False,0,None,False,False,False,0,2025-02-11,2025-03-13,Medium,False,186870,37374.0,Medium (5-10ha)
Kaduna,62,Female,Tertiary,6,4.8,Cotton,Groundnut,Poultry,16,False,False,58556,22386,777,8345,True,False,0,None,False,False,False,0,2025-05-03,2025-04-07,Medium,False,80942,13490.333333333334,Small (1-5ha)
Oyo,57,Male,None,9,5.61,Oil Palm,Yam,Pigs,11,True,False,138538,14803,383,3561,True,False,0,None,False,False,False,0,2025-03-28,2025-04-26,Medium,True,153341,17037.88888888889,Medium (5-10ha)
Jigawa,53,Female,None,3,4.88,Yam,Sorghum,None,22,False,False,28408,6044,646,6357,True,False,0,None,False,False,False,0,2025-03-19,2025-03-15,High,False,34452,11484.0,Small (1-5ha)
Delta,25,Male,Primary,11,9.92,Millet,None,Poultry,6,True,False,96913,15835,362,8394,False,True,411767,Bundled Services,True,False,True,86,2025-02-09,2025-03-30,Medium,False,112748,10249.818181818182,Medium (5-10ha)
Taraba,46,Female,Primary,11,6.83,Soybean,Rubber,Fish Farming,2,False,False,62230,16920,841,3904,True,True,362595,Mechanization Services,False,True,False,0,2025-03-24,2025-03-16,Low,True,79150,7195.454545454545,Medium (5-10ha)
Benue,36,Male,None,7,8.63,Vegetables,Rubber,Pigs,8,False,True,184620,47198,473,5021,False,False,0,None,False,False,True,77,2025-04-20,2025-03-24,Medium,False,231818,33116.857142857145,Medium (5-10ha)
Lagos,62,Male,None,2,0.46,Soybean,Yam,Goats,24,False,True,190284,67136,815,8396,True,True,408105,Mechanization Services,True,False,True,75,2025-05-04,2025-04-29,High,False,257420,128710.0,Subsistence (<1ha)
Kogi,49,Female,Tertiary,8,5.19,Cocoa,Cowpea,Sheep,19,False,False,127816,7576,507,4906,True,False,0,None,False,False,False,0,2025-03-08,2025-04-13,Medium,False,135392,16924.0,Medium (5-10ha)
Kwara,18,Male,None,7,4.88,Sorghum,Soybean,Goats,0,False,True,160625,61100,501,821,False,True,139362,Mechanization Services,True,False,True,93,2025-03-31,,None,False,221725,31675.0,Small (1-5ha)
Ebonyi,40,Female,Secondary,2,2.26,Millet,Maize,Pigs,9,True,False,109921,32556,555,8390,False,False,0,None,False,False,True,86,2025-03-17,2025-04-12,None,True,142477,71238.5,Small (1-5ha)
Abia,62,Female,None,2,6.0,Vegetables,Rubber,Goats,39,True,False,117104,29430,687,5342,True,True,76702,Mechanization Services,True,False,True,77,2025-02-13,2025-04-15,None,False,146534,73267.0,Medium (5-10ha)
Sokoto,36,Female,None,5,7.81,Maize,None,Pigs,5,True,True,169122,16768,737,1226,False,False,0,None,False,False,False,0,2025-02-08,2025-05-04,High,True,185890,37178.0,Medium (5-10ha)
Kogi,54,Female,Secondary,7,6.43,Sorghum,Tomato,Sheep,3,False,True,12294,5347,746,794,True,True,113797,Mechanization Services,True,False,True,93,2025-03-16,2025-04-03,High,False,17641,2520.1428571428573,Medium (5-10ha)
Rivers,62,Male,Primary,3,1.33,Sorghum,Millet,Poultry,4,True,True,104105,42016,408,1336,True,False,0,None,False,False,True,78,2025-04-10,2025-03-12,Medium,False,146121,48707.0,Small (1-5ha)
Yobe,24,Female,Tertiary,9,6.95,Vegetables,Sesame,Poultry,6,False,False,55583,3384,604,3024,False,False,0,None,False,False,False,0,2025-03-26,2025-03-29,None,False,58967,6551.888888888889,Medium (5-10ha)
Delta,50,Female,Primary,8,2.91,Cowpea,Yam,Sheep,15,True,False,144756,37222,757,3265,False,True,208976,Bundled Services,False,True,False,0,2025-02-20,2025-03-27,Medium,True,181978,22747.25,Small (1-5ha)
Abia,44,Female,None,10,8.39,Sesame,Oil Palm,None,6,True,False,160211,10702,537,7640,True,True,182871,Bundled Services,True,False,False,0,2025-03-22,2025-03-21,None,True,170913,17091.3,Medium (5-10ha)
Ekiti,31,Female,Tertiary,5,3.79,Yam,Cocoa,Pigs,9,False,True,132030,11790,303,1632,True,True,314647,Farm Inputs,True,False,False,0,2025-04-05,2025-03-31,High,False,143820,28764.0,Small (1-5ha)
Kaduna,22,Female,Primary,2,5.54,Soybean,Sorghum,Pigs,4,False,True,24452,11786,540,6979,False,False,0,None,False,False,False,0,2025-04-25,,High,True,36238,18119.0,Medium (5-10ha)
Benue,28,Male,Primary,3,1.46,Cocoa,Rice,Poultry,6,False,True,36556,13682,412,8525,False,False,0,None,False,False,True,100,2025-03-25,2025-03-26,Low,True,50238,16746.0,Small (1-5ha)
Taraba,27,Female,Secondary,11,2.39,Yam,Sorghum,Goats,5,False,True,165819,53668,313,8371,True,False,0,None,False,False,True,84,2025-04-27,2025-03-08,High,True,219487,19953.363636363636,Small (1-5ha)
