Loan_ID,Farmer_ID,Enterprise_ID,Loan_Amount,Interest_Rate,Loan_Date,Loan_Use_Status,Loan_Repayment_Amount,Repayment_Date,Duration_Months,Loan_Use_Duration,Credit_Worthiness_Status,Loan_Asset_Ratio,OpEx_Income_Ratio,Loan_Source,Loan_Supervision_Frequency,Distance_to_Lender,Disbursement_Lag,Has_Defaulted,Default_Reason
LOAN_0004266,FARMER_02180,ENT_004345,270000,5.1,2022-12-25,Yes,136356,2024-03-19,18,14,Non-creditworthy,0.34,0.48,Family/Friends,0,18.5,3,Yes,Pest Attack
LOAN_0004267,FARMER_02181,ENT_004346,310000,18.6,2017-04-06,No,155757,2018-08-29,18,7,Non-creditworthy,0.51,0.54,Government Program,2,84.1,3,Yes,Market Loss
LOAN_0004268,FARMER_02181,ENT_004346,320000,5.8,2020-04-19,No,357120,2022-04-09,24,24,Non-creditworthy,0.53,0.54,Family/Friends,4,78.2,6,No,N/A
LOAN_0004269,FARMER_02181,ENT_004347,1245000,24.1,2019-01-16,Yes,2145135,2021-12-31,36,8,Non-creditworthy,0.52,0.52,Cooperative,4,97.6,5,No,N/A
LOAN_0004270,FARMER_02181,ENT_004347,625000,15.4,2015-08-05,No,913750,2018-07-20,36,32,Non-creditworthy,0.26,0.52,Cooperative,5,65.8,0,No,N/A
LOAN_0004271,FARMER_02183,ENT_004350,270000,17.8,2021-08-05,Yes,366120,2023-07-26,24,24,Non-creditworthy,0.26,0.47,Family/Friends,1,14.9,1,No,N/A
LOAN_0004272,FARMER_02184,ENT_004352,100000,18.1,2023-08-03,Yes,127150,2025-01-24,18,2,Non-creditworthy,0.01,0.66,Cooperative,1,2.5,0,No,N/A
LOAN_0004273,FARMER_02184,ENT_004352,45000,5.6,2020-05-18,Yes,46260,2020-11-14,6,6,Creditworthy,0.0,0.66,Government Program,5,98.8,1,No,N/A
LOAN_0004274,FARMER_02184,ENT_004353,175000,10.8,2023-08-04,Yes,184450,2024-01-31,6,3,Creditworthy,0.0,0.56,Cooperative,0,55.1,6,No,N/A
LOAN_0004275,FARMER_02185,ENT_004355,655000,26.7,2023-04-07,No,917328,2024-09-28,18,11,Non-creditworthy,0.02,0.69,Family/Friends,3,60.0,2,No,N/A
LOAN_0004276,FARMER_02185,ENT_004355,885000,27.7,2023-10-10,No,135826,2025-03-03,36,28,Non-creditworthy,0.03,0.69,Government Program,3,31.3,3,Yes,Policy Change
LOAN_0004277,FARMER_02185,ENT_004356,420000,24.3,2023-09-17,Yes,156422,2024-08-12,18,18,Non-creditworthy,0.47,0.55,Cooperative,3,24.2,4,Yes,Drought/Flood
LOAN_0004278,FARMER_02185,ENT_004356,480000,13.8,2016-01-12,No,612480,2018-01-01,24,10,Creditworthy,0.53,0.55,Microfinance Bank,3,27.2,6,No,N/A
LOAN_0004279,FARMER_02186,ENT_004358,125000,9.8,2023-07-25,No,35619,2023-09-23,12,4,Non-creditworthy,0.03,0.61,Government Program,5,88.9,3,Yes,Policy Change
LOAN_0004280,FARMER_02186,ENT_004358,110000,15.0,2018-11-01,No,118250,2019-04-30,6,1,Non-creditworthy,0.02,0.61,Commercial Bank,4,31.7,5,No,N/A
LOAN_0004281,FARMER_02187,ENT_004360,100000,17.6,2016-07-20,No,47121,2016-08-19,24,14,Non-creditworthy,0.52,0.59,Informal Lender,3,50.8,1,Yes,Low/Poor Yield
LOAN_0004282,FARMER_02188,ENT_004363,45000,11.8,2019-03-15,Yes,52965,2020-09-05,18,8,Non-creditworthy,0.35,0.51,Microfinance Bank,0,22.3,2,No,N/A
LOAN_0004283,FARMER_02188,ENT_004364,570000,25.5,2020-06-14,Yes,92306,2021-09-07,36,4,Non-creditworthy,0.0,0.68,Cooperative,2,88.2,4,Yes,Illness of Farmer
LOAN_0004284,FARMER_02189,ENT_004365,150000,26.0,2021-06-06,No,189000,2022-06-01,12,7,Creditworthy,0.01,0.73,Cooperative,2,70.4,5,No,N/A
LOAN_0004285,FARMER_02189,ENT_004365,85000,33.5,2021-08-10,Yes,99238,2022-02-06,6,2,Creditworthy,0.0,0.73,Informal Lender,3,85.5,5,No,N/A
LOAN_0004286,FARMER_02189,ENT_004366,145000,10.2,2018-06-06,Yes,167185,2019-11-28,18,18,Creditworthy,0.36,0.49,Bank of Agriculture,1,94.2,4,No,N/A
LOAN_0004287,FARMER_02190,ENT_004367,1235000,5.3,2024-12-14,No,981986,,36,13,Creditworthy,0.54,0.58,Cooperative,4,17.4,0,No,N/A
LOAN_0004288,FARMER_02192,ENT_004372,1605000,28.1,2015-04-26,Yes,1830502,2015-10-23,6,4,Creditworthy,0.02,0.56,Family/Friends,5,46.2,5,No,N/A
LOAN_0004289,FARMER_02193,ENT_004373,355000,12.4,2020-08-22,Yes,48350,2021-04-19,18,15,Non-creditworthy,0.0,0.43,Government Program,1,88.2,3,Yes,Other
LOAN_0004290,FARMER_02193,ENT_004373,815000,32.6,2015-10-01,Yes,1346380,2017-09-20,24,18,Creditworthy,0.01,0.43,Commercial Bank,0,67.7,0,No,N/A
LOAN_0004291,FARMER_02195,ENT_004375,310000,8.9,2023-05-06,No,337590,2024-04-30,12,1,Non-creditworthy,0.13,0.71,Commercial Bank,5,72.7,6,No,N/A
LOAN_0004292,FARMER_02195,ENT_004375,170000,13.3,2023-03-08,No,181305,2023-09-04,6,2,Non-creditworthy,0.07,0.71,Cooperative,1,33.2,2,No,N/A
LOAN_0004293,FARMER_02195,ENT_004376,110000,6.8,2024-04-24,Yes,45262,,36,24,Creditworthy,0.11,0.58,Government Program,4,51.2,2,No,N/A
LOAN_0004294,FARMER_02195,ENT_004376,135000,31.8,2024-12-05,No,74944,,18,4,Creditworthy,0.14,0.58,Bank of Agriculture,5,89.1,2,No,N/A
LOAN_0004295,FARMER_02195,ENT_004377,750000,12.1,2024-03-26,Yes,547091,,36,20,Creditworthy,0.0,0.56,Microfinance Bank,0,55.8,6,No,N/A
LOAN_0004296,FARMER_02196,ENT_004379,390000,33.5,2022-06-02,Yes,651300,2024-05-22,24,19,Creditworthy,0.53,0.74,Government Program,3,58.7,4,No,N/A
LOAN_0004297,FARMER_02196,ENT_004379,310000,10.3,2021-09-25,No,341930,2022-09-20,12,4,Creditworthy,0.42,0.74,Commercial Bank,4,77.9,6,No,N/A
LOAN_0004298,FARMER_02196,ENT_004380,200000,17.9,2016-05-23,No,253700,2017-11-14,18,11,Non-creditworthy,0.3,0.42,Commercial Bank,5,37.5,0,No,N/A
LOAN_0004299,FARMER_02196,ENT_004380,345000,5.5,2021-05-01,No,401925,2024-04-15,36,33,Non-creditworthy,0.51,0.42,Bank of Agriculture,0,6.4,3,No,N/A
LOAN_0004300,FARMER_02197,ENT_004381,510000,28.8,2021-04-09,No,803760,2023-03-30,24,19,Creditworthy,0.03,0.59,Family/Friends,3,55.5,0,No,N/A
LOAN_0004301,FARMER_02197,ENT_004382,485000,15.6,2020-04-06,No,598490,2021-09-28,18,11,Creditworthy,0.01,0.65,Microfinance Bank,1,70.5,1,No,N/A
LOAN_0004302,FARMER_02197,ENT_004382,140000,23.5,2019-11-20,Yes,172900,2020-11-14,12,3,Creditworthy,0.0,0.65,Cooperative,2,8.0,0,No,N/A
LOAN_0004303,FARMER_02198,ENT_004383,95000,8.6,2021-10-22,Yes,24879,2022-03-21,12,8,Non-creditworthy,0.0,0.57,Bank of Agriculture,5,54.9,1,Yes,Other
LOAN_0004304,FARMER_02198,ENT_004383,165000,21.4,2022-10-02,Yes,200310,2023-09-27,12,5,Creditworthy,0.0,0.57,Microfinance Bank,3,8.2,2,No,N/A
LOAN_0004305,FARMER_02198,ENT_004384,155000,31.5,2021-04-05,No,228238,2022-09-27,18,2,Creditworthy,0.17,0.53,Cooperative,1,63.3,3,No,N/A
LOAN_0004306,FARMER_02198,ENT_004384,225000,7.9,2017-04-17,No,119225,2017-06-16,6,3,Non-creditworthy,0.25,0.53,Microfinance Bank,2,99.0,3,Yes,Policy Change
LOAN_0004307,FARMER_02199,ENT_004386,85000,12.7,2022-06-13,No,90397,2022-12-10,6,6,Creditworthy,0.0,0.5,Government Program,1,47.7,6,No,N/A
LOAN_0004308,FARMER_02199,ENT_004386,105000,10.5,2021-01-02,Yes,121538,2022-06-26,18,6,Non-creditworthy,0.0,0.5,Commercial Bank,2,59.7,4,No,N/A
LOAN_0004309,FARMER_02200,ENT_004387,145000,11.1,2022-03-23,No,193285,2025-03-07,36,28,Non-creditworthy,0.02,0.48,Commercial Bank,1,20.9,0,No,N/A
LOAN_0004310,FARMER_02200,ENT_004388,115000,22.0,2020-05-07,No,165600,2022-04-27,24,8,Creditworthy,0.0,0.55,Family/Friends,3,33.7,5,No,N/A
LOAN_0004311,FARMER_02200,ENT_004388,80000,5.2,2020-08-16,No,88320,2022-08-06,24,11,Non-creditworthy,0.0,0.55,Commercial Bank,5,23.6,3,No,N/A
LOAN_0004312,FARMER_02200,ENT_004389,885000,25.9,2023-06-09,Yes,38445,,36,8,Non-creditworthy,0.06,0.51,Commercial Bank,0,75.8,3,No,N/A
LOAN_0004313,FARMER_02201,ENT_004390,220000,6.3,2020-10-07,Yes,49421,2022-07-29,36,1,Non-creditworthy,0.43,0.65,Family/Friends,1,55.9,3,Yes,Other
LOAN_0004314,FARMER_02201,ENT_004390,200000,33.2,2021-01-20,Yes,399200,2024-01-05,36,1,Creditworthy,0.39,0.65,Cooperative,4,99.0,2,No,N/A
LOAN_0004315,FARMER_02202,ENT_004391,20000,21.9,2022-09-18,Yes,8867,,36,20,Creditworthy,0.19,0.54,Family/Friends,3,56.3,6,No,N/A
LOAN_0004316,FARMER_02204,ENT_004393,540000,17.9,2023-12-07,Yes,261030,2024-12-01,18,12,Non-creditworthy,0.03,0.44,Government Program,4,21.1,0,Yes,Illness of Farmer
LOAN_0004317,FARMER_02204,ENT_004393,420000,18.6,2018-01-05,No,537180,2019-06-29,18,10,Creditworthy,0.02,0.44,Commercial Bank,5,98.4,2,No,N/A
LOAN_0004318,FARMER_02204,ENT_004395,780000,19.0,2021-11-06,No,928200,2022-11-01,12,3,Creditworthy,0.01,0.54,Government Program,3,32.1,4,No,N/A
LOAN_0004319,FARMER_02204,ENT_004395,190000,26.0,2015-02-07,No,99193,2015-05-08,6,6,Non-creditworthy,0.0,0.54,Family/Friends,2,83.4,1,Yes,Policy Change
LOAN_0004320,FARMER_02205,ENT_004396,340000,22.8,2023-02-04,No,456280,2024-07-28,18,12,Creditworthy,0.42,0.74,Commercial Bank,3,1.2,5,No,N/A
LOAN_0004321,FARMER_02205,ENT_004396,70000,10.0,2020-09-11,No,84000,2022-09-01,24,14,Creditworthy,0.09,0.74,Government Program,1,15.7,3,No,N/A
LOAN_0004322,FARMER_02205,ENT_004397,575000,18.4,2023-03-10,No,680800,2024-03-04,12,9,Creditworthy,0.04,0.67,Government Program,3,32.0,6,No,N/A
LOAN_0004323,FARMER_02205,ENT_004397,745000,18.8,2018-05-11,Yes,220515,2018-08-09,12,7,Non-creditworthy,0.05,0.67,Government Program,0,53.4,2,Yes,Pest Attack
LOAN_0004324,FARMER_02207,ENT_004400,125000,31.9,2020-08-25,No,61302,2020-09-24,18,13,Non-creditworthy,0.0,0.79,Microfinance Bank,1,37.1,3,Yes,Other
LOAN_0004325,FARMER_02209,ENT_004403,170000,9.5,2017-10-11,Yes,178075,2018-04-09,6,6,Creditworthy,0.12,0.76,Family/Friends,3,50.6,2,No,N/A
LOAN_0004326,FARMER_02209,ENT_004403,220000,31.7,2021-09-16,No,324610,2023-03-10,18,12,Non-creditworthy,0.16,0.76,Bank of Agriculture,0,24.4,3,No,N/A
LOAN_0004327,FARMER_02210,ENT_004404,665000,22.5,2019-03-14,Yes,457261,2020-02-07,36,10,Non-creditworthy,0.51,0.77,Informal Lender,4,64.0,6,Yes,Illness of Farmer
LOAN_0004328,FARMER_02211,ENT_004405,605000,19.6,2022-10-12,Yes,366166,,36,25,Non-creditworthy,0.0,0.8,Cooperative,0,77.2,1,No,N/A
LOAN_0004329,FARMER_02212,ENT_004406,135000,13.5,2021-06-14,Yes,144112,2021-12-11,6,4,Creditworthy,0.01,0.41,Government Program,4,15.8,6,No,N/A
LOAN_0004330,FARMER_02212,ENT_004407,1160000,17.8,2018-01-14,Yes,1263240,2018-07-13,6,6,Creditworthy,0.07,0.8,Family/Friends,0,3.5,0,No,N/A
LOAN_0004331,FARMER_02212,ENT_004407,880000,18.8,2022-10-04,No,1210880,2024-09-23,24,17,Creditworthy,0.05,0.8,Cooperative,5,62.2,1,No,N/A
LOAN_0004332,FARMER_02213,ENT_004408,285000,27.6,2020-04-15,No,363660,2021-04-10,12,8,Creditworthy,0.0,0.46,Microfinance Bank,5,71.8,5,No,N/A
LOAN_0004333,FARMER_02213,ENT_004408,405000,34.1,2019-04-05,Yes,133268,2019-12-01,12,9,Non-creditworthy,0.01,0.46,Bank of Agriculture,3,40.9,4,Yes,Market Loss
LOAN_0004334,FARMER_02215,ENT_004410,380000,16.1,2019-11-22,Yes,159509,2020-11-16,24,5,Non-creditworthy,0.02,0.58,Informal Lender,1,68.3,1,Yes,Diversion of Funds
LOAN_0004335,FARMER_02216,ENT_004411,250000,19.5,2024-01-25,Yes,165161,,18,15,Creditworthy,0.02,0.77,Commercial Bank,5,18.5,2,No,N/A
LOAN_0004336,FARMER_02216,ENT_004411,420000,24.6,2023-08-19,Yes,471660,2024-02-15,6,1,Non-creditworthy,0.03,0.77,Microfinance Bank,4,35.1,3,No,N/A
LOAN_0004337,FARMER_02216,ENT_004412,280000,29.6,2024-04-16,No,80688,,36,16,Non-creditworthy,0.34,0.48,Family/Friends,1,79.3,6,No,N/A
LOAN_0004338,FARMER_02216,ENT_004412,105000,34.0,2015-03-21,No,140700,2016-03-15,12,1,Creditworthy,0.13,0.48,Bank of Agriculture,1,23.3,1,No,N/A
LOAN_0004339,FARMER_02217,ENT_004413,260000,9.4,2019-10-24,No,272220,2020-04-21,6,5,Non-creditworthy,0.02,0.54,Microfinance Bank,0,81.2,0,No,N/A
LOAN_0004340,FARMER_02217,ENT_004413,135000,27.8,2019-10-05,Yes,191295,2021-03-28,18,12,Non-creditworthy,0.01,0.54,Cooperative,5,16.3,6,No,N/A
LOAN_0004341,FARMER_02217,ENT_004414,400000,28.9,2023-10-13,No,89686,2023-12-12,6,5,Non-creditworthy,0.03,0.53,Microfinance Bank,4,10.4,1,Yes,Other
LOAN_0004342,FARMER_02219,ENT_004417,515000,21.3,2023-12-23,No,209054,,18,8,Non-creditworthy,0.02,0.47,Informal Lender,3,79.7,0,No,N/A
LOAN_0004343,FARMER_02219,ENT_004418,65000,32.3,2018-07-28,Yes,127985,2021-07-12,36,35,Creditworthy,0.13,0.58,Cooperative,2,81.8,5,No,N/A
LOAN_0004344,FARMER_02220,ENT_004419,30000,5.3,2024-07-21,Yes,22209,,12,5,Creditworthy,0.27,0.71,Government Program,3,22.7,0,No,N/A
LOAN_0004345,FARMER_02221,ENT_004420,295000,14.2,2021-06-23,Yes,315945,2021-12-20,6,4,Creditworthy,0.01,0.74,Family/Friends,0,47.7,1,No,N/A
LOAN_0004346,FARMER_02221,ENT_004420,1230000,10.9,2022-02-23,Yes,1364070,2023-02-18,12,2,Creditworthy,0.06,0.74,Family/Friends,1,4.2,1,No,N/A
LOAN_0004347,FARMER_02221,ENT_004421,1530000,14.8,2018-08-15,No,1643220,2019-02-11,6,2,Creditworthy,0.47,0.5,Family/Friends,0,39.7,2,No,N/A
LOAN_0004348,FARMER_02222,ENT_004425,60000,33.8,2020-10-19,Yes,100560,2022-10-09,24,19,Non-creditworthy,0.01,0.79,Government Program,3,74.1,6,No,N/A
LOAN_0004349,FARMER_02222,ENT_004425,105000,22.9,2022-03-04,Yes,117022,2022-08-31,6,3,Non-creditworthy,0.02,0.79,Government Program,4,70.6,2,No,N/A
LOAN_0004350,FARMER_02223,ENT_004426,425000,30.2,2023-12-27,Yes,133481,,36,34,Creditworthy,0.05,0.55,Microfinance Bank,0,6.7,6,No,N/A
LOAN_0004351,FARMER_02223,ENT_004426,130000,21.4,2018-11-05,Yes,54298,2020-02-28,24,11,Non-creditworthy,0.01,0.55,Government Program,1,22.7,0,Yes,Drought/Flood
LOAN_0004352,FARMER_02224,ENT_004427,570000,22.3,2022-09-11,Yes,824220,2024-08-31,24,13,Creditworthy,0.0,0.61,Government Program,2,93.3,6,No,N/A
LOAN_0004353,FARMER_02225,ENT_004429,540000,5.7,2023-02-28,No,253393,,36,13,Creditworthy,0.01,0.42,Commercial Bank,5,95.8,6,No,N/A
LOAN_0004354,FARMER_02226,ENT_004430,115000,14.1,2018-09-20,Yes,163645,2021-09-04,36,17,Non-creditworthy,0.24,0.51,Government Program,4,15.9,1,No,N/A
LOAN_0004355,FARMER_02226,ENT_004430,120000,30.1,2021-03-11,No,156120,2022-03-06,12,1,Creditworthy,0.25,0.51,Family/Friends,0,39.5,1,No,N/A
LOAN_0004356,FARMER_02227,ENT_004432,115000,30.7,2024-02-12,Yes,8157,,18,3,Non-creditworthy,0.02,0.6,Microfinance Bank,5,29.0,3,No,N/A
LOAN_0004357,FARMER_02227,ENT_004432,30000,30.6,2024-08-16,No,21384,,36,1,Creditworthy,0.01,0.6,Microfinance Bank,3,94.4,0,No,N/A
LOAN_0004358,FARMER_02228,ENT_004433,105000,24.5,2021-11-01,Yes,156450,2023-10-22,24,8,Non-creditworthy,0.0,0.67,Family/Friends,3,54.5,5,No,N/A
LOAN_0004359,FARMER_02228,ENT_004433,275000,9.6,2015-09-22,Yes,288200,2016-03-20,6,5,Non-creditworthy,0.01,0.67,Cooperative,3,57.7,6,No,N/A
LOAN_0004360,FARMER_02229,ENT_004435,20000,19.7,2015-02-26,Yes,7961,2015-07-26,6,4,Non-creditworthy,0.15,0.56,Cooperative,1,91.0,1,Yes,Policy Change
LOAN_0004361,FARMER_02230,ENT_004437,870000,26.6,2016-12-24,Yes,304467,2017-02-22,6,6,Non-creditworthy,0.01,0.78,Informal Lender,1,36.9,4,Yes,Other
LOAN_0004362,FARMER_02230,ENT_004437,620000,24.0,2020-09-27,Yes,768800,2021-09-22,12,10,Creditworthy,0.01,0.78,Bank of Agriculture,5,31.3,0,No,N/A
LOAN_0004363,FARMER_02231,ENT_004439,125000,6.0,2023-11-11,Yes,132500,2024-11-05,12,5,Non-creditworthy,0.17,0.72,Commercial Bank,5,31.8,2,No,N/A
LOAN_0004364,FARMER_02231,ENT_004439,310000,33.6,2021-06-08,No,466240,2022-11-30,18,3,Creditworthy,0.42,0.72,Bank of Agriculture,2,43.3,5,No,N/A
LOAN_0004365,FARMER_02232,ENT_004441,250000,22.9,2024-08-19,Yes,23948,,18,3,Non-creditworthy,0.14,0.4,Commercial Bank,3,64.3,1,No,N/A
LOAN_0004366,FARMER_02232,ENT_004441,200000,10.6,2022-01-18,Yes,231800,2023-07-12,18,12,Creditworthy,0.12,0.4,Commercial Bank,3,98.2,5,No,N/A
LOAN_0004367,FARMER_02232,ENT_004442,715000,8.5,2024-07-19,Yes,745388,2025-01-15,6,2,Creditworthy,0.42,0.77,Family/Friends,0,20.2,6,No,N/A
LOAN_0004368,FARMER_02232,ENT_004442,175000,19.2,2024-04-22,No,108360,2024-11-18,18,14,Non-creditworthy,0.1,0.77,Government Program,1,97.5,2,Yes,Other
LOAN_0004369,FARMER_02233,ENT_004444,245000,6.7,2020-12-03,Yes,294245,2023-11-18,36,16,Creditworthy,0.02,0.44,Informal Lender,0,61.1,4,No,N/A
LOAN_0004370,FARMER_02233,ENT_004444,125000,18.2,2024-12-12,Yes,15035,2025-05-11,12,9,Non-creditworthy,0.01,0.44,Informal Lender,3,70.5,6,Yes,Drought/Flood
LOAN_0004371,FARMER_02233,ENT_004445,365000,19.1,2017-10-03,Yes,399857,2018-04-01,6,4,Creditworthy,0.0,0.59,Family/Friends,0,92.0,1,No,N/A
LOAN_0004372,FARMER_02234,ENT_004446,780000,27.3,2022-08-01,No,1099410,2024-01-23,18,17,Creditworthy,0.0,0.68,Commercial Bank,3,91.4,1,No,N/A
LOAN_0004373,FARMER_02234,ENT_004447,350000,18.7,2018-04-12,Yes,382725,2018-10-09,6,5,Creditworthy,0.31,0.7,Bank of Agriculture,4,60.7,5,No,N/A
LOAN_0004374,FARMER_02234,ENT_004447,300000,9.0,2023-05-20,No,327000,2024-05-14,12,4,Creditworthy,0.26,0.7,Informal Lender,0,54.2,4,No,N/A
LOAN_0004375,FARMER_02235,ENT_004449,45000,32.4,2023-06-17,No,25211,,36,2,Creditworthy,0.02,0.46,Microfinance Bank,5,73.4,5,No,N/A
LOAN_0004376,FARMER_02235,ENT_004449,50000,13.8,2024-11-14,No,18575,,12,3,Creditworthy,0.02,0.46,Commercial Bank,3,72.1,3,No,N/A
LOAN_0004377,FARMER_02235,ENT_004450,65000,24.9,2024-10-12,No,12084,,12,3,Creditworthy,0.08,0.52,Microfinance Bank,4,28.0,2,No,N/A
LOAN_0004378,FARMER_02235,ENT_004450,295000,13.4,2022-04-14,Yes,334530,2023-04-09,12,8,Creditworthy,0.37,0.52,Informal Lender,2,20.0,6,No,N/A
LOAN_0004379,FARMER_02236,ENT_004451,210000,21.5,2020-10-14,No,300300,2022-10-04,24,14,Creditworthy,0.0,0.61,Microfinance Bank,3,68.5,1,No,N/A
LOAN_0004380,FARMER_02236,ENT_004452,790000,10.1,2018-03-05,Yes,949580,2020-02-23,24,15,Creditworthy,0.04,0.4,Informal Lender,5,26.3,0,No,N/A
LOAN_0004381,FARMER_02236,ENT_004452,895000,16.5,2020-03-19,Yes,968838,2020-09-15,6,1,Creditworthy,0.05,0.4,Informal Lender,1,29.6,1,No,N/A
LOAN_0004382,FARMER_02239,ENT_004456,800000,33.5,2021-06-07,Yes,1604000,2024-05-22,36,16,Creditworthy,0.52,0.68,Bank of Agriculture,4,59.0,5,No,N/A
LOAN_0004383,FARMER_02239,ENT_004458,180000,20.7,2021-11-18,Yes,254520,2023-11-08,24,2,Creditworthy,0.0,0.46,Family/Friends,1,6.3,2,No,N/A
LOAN_0004384,FARMER_02239,ENT_004458,235000,33.6,2023-09-15,Yes,274480,2024-03-13,6,2,Non-creditworthy,0.0,0.46,Bank of Agriculture,0,55.7,3,No,N/A
LOAN_0004385,FARMER_02240,ENT_004459,300000,22.6,2022-05-25,Yes,401700,2023-11-16,18,16,Creditworthy,0.01,0.73,Commercial Bank,1,79.4,6,No,N/A
LOAN_0004386,FARMER_02240,ENT_004459,430000,34.1,2023-08-15,Yes,576630,2024-08-09,12,11,Creditworthy,0.01,0.73,Informal Lender,2,1.7,1,No,N/A
LOAN_0004387,FARMER_02241,ENT_004462,1325000,26.4,2019-12-15,No,2374400,2022-11-29,36,6,Non-creditworthy,0.46,0.57,Bank of Agriculture,3,25.6,4,No,N/A
LOAN_0004388,FARMER_02242,ENT_004463,245000,25.7,2017-07-21,Yes,433895,2020-07-05,36,17,Creditworthy,0.01,0.65,Informal Lender,5,14.2,1,No,N/A
LOAN_0004389,FARMER_02242,ENT_004463,945000,31.8,2023-03-09,Yes,1395765,2024-08-30,18,17,Creditworthy,0.04,0.65,Bank of Agriculture,2,19.0,4,No,N/A
LOAN_0004390,FARMER_02242,ENT_004464,315000,12.7,2019-07-01,Yes,97239,2020-11-22,18,14,Non-creditworthy,0.01,0.5,Cooperative,3,2.0,4,Yes,Low/Poor Yield
LOAN_0004391,FARMER_02244,ENT_004468,20000,18.2,2017-11-23,No,21820,2018-05-22,6,4,Non-creditworthy,0.16,0.63,Microfinance Bank,2,35.2,6,No,N/A
LOAN_0004392,FARMER_02244,ENT_004468,35000,33.0,2019-01-21,Yes,40775,2019-07-20,6,1,Creditworthy,0.28,0.63,Family/Friends,1,26.2,5,No,N/A
LOAN_0004393,FARMER_02245,ENT_004470,600000,29.4,2024-02-01,Yes,9525,,36,10,Creditworthy,0.01,0.57,Government Program,0,60.6,6,No,N/A
LOAN_0004394,FARMER_02245,ENT_004470,475000,28.4,2023-09-27,Yes,609900,2024-09-21,12,4,Creditworthy,0.01,0.57,Commercial Bank,5,12.4,6,No,N/A
LOAN_0004395,FARMER_02245,ENT_004471,1050000,11.9,2023-12-16,Yes,319101,2024-03-15,18,12,Non-creditworthy,0.48,0.72,Commercial Bank,1,12.8,5,Yes,Low/Poor Yield
LOAN_0004396,FARMER_02245,ENT_004471,915000,17.4,2022-01-27,Yes,1233420,2024-01-17,24,19,Creditworthy,0.42,0.72,Bank of Agriculture,5,45.7,6,No,N/A
LOAN_0004397,FARMER_02246,ENT_004472,180000,5.5,2018-10-28,Yes,209700,2021-10-12,36,26,Creditworthy,0.0,0.54,Informal Lender,0,27.6,2,No,N/A
LOAN_0004398,FARMER_02246,ENT_004472,545000,20.0,2024-07-28,Yes,9067,,36,13,Creditworthy,0.01,0.54,Government Program,4,89.9,5,No,N/A
LOAN_0004399,FARMER_02246,ENT_004473,725000,18.5,2023-01-08,Yes,993250,2024-12-28,24,9,Creditworthy,0.02,0.49,Cooperative,2,48.5,5,No,N/A
LOAN_0004400,FARMER_02247,ENT_004474,165000,15.8,2016-04-03,No,178035,2016-09-30,6,4,Non-creditworthy,0.17,0.43,Commercial Bank,1,96.2,0,No,N/A
LOAN_0004401,FARMER_02247,ENT_004474,155000,26.8,2020-01-12,No,217310,2021-07-05,18,10,Creditworthy,0.16,0.43,Microfinance Bank,1,63.4,2,No,N/A
LOAN_0004402,FARMER_02247,ENT_004476,320000,28.0,2017-01-27,No,499200,2019-01-17,24,8,Creditworthy,0.52,0.54,Commercial Bank,3,31.6,1,No,N/A
LOAN_0004403,FARMER_02247,ENT_004476,85000,19.9,2020-05-17,No,101915,2021-05-12,12,11,Non-creditworthy,0.14,0.54,Informal Lender,1,68.8,4,No,N/A
LOAN_0004404,FARMER_02248,ENT_004478,85000,9.3,2020-03-06,Yes,41517,2020-12-01,18,14,Non-creditworthy,0.01,0.54,Microfinance Bank,0,28.3,2,Yes,Drought/Flood
LOAN_0004405,FARMER_02248,ENT_004478,265000,30.7,2021-08-03,Yes,305678,2022-01-30,6,4,Creditworthy,0.03,0.54,Microfinance Bank,0,99.3,6,No,N/A
LOAN_0004406,FARMER_02249,ENT_004479,1345000,16.8,2022-02-02,No,284114,2022-03-04,6,4,Non-creditworthy,0.02,0.7,Informal Lender,2,31.9,2,Yes,Pest Attack
LOAN_0004407,FARMER_02249,ENT_004479,905000,27.4,2016-05-06,Yes,1400940,2018-04-26,24,22,Creditworthy,0.01,0.7,Microfinance Bank,1,28.2,6,No,N/A
LOAN_0004408,FARMER_02249,ENT_004480,1410000,23.4,2015-09-10,No,567172,2016-06-06,24,23,Non-creditworthy,0.05,0.65,Bank of Agriculture,5,9.6,6,Yes,Input Price Hike
LOAN_0004409,FARMER_02250,ENT_004482,20000,7.1,2015-09-16,No,20710,2016-03-14,6,5,Non-creditworthy,0.0,0.76,Informal Lender,3,20.6,4,No,N/A
LOAN_0004410,FARMER_02250,ENT_004482,20000,6.9,2023-03-02,Yes,22760,2025-02-19,24,19,Non-creditworthy,0.0,0.76,Family/Friends,5,43.1,4,No,N/A
LOAN_0004411,FARMER_02251,ENT_004484,585000,32.2,2023-10-13,No,446706,,24,23,Non-creditworthy,0.33,0.53,Family/Friends,5,64.7,3,No,N/A
LOAN_0004412,FARMER_02252,ENT_004485,410000,5.7,2024-07-19,No,87994,,24,24,Non-creditworthy,0.01,0.41,Microfinance Bank,2,43.2,1,No,N/A
LOAN_0004413,FARMER_02253,ENT_004487,315000,5.2,2023-02-16,No,347760,2025-02-05,24,5,Non-creditworthy,0.01,0.49,Cooperative,4,63.8,1,No,N/A
LOAN_0004414,FARMER_02253,ENT_004488,285000,28.2,2024-09-22,No,221165,,12,3,Non-creditworthy,0.03,0.49,Family/Friends,5,29.0,2,No,N/A
