monthly_mobile_spend_naira,post_harvest_loss_perc,distance_to_market_km,distance_to_bank_km,percentage_sold_unprocessed,percentage_consumed,income_per_capita_ngn,annual_farm_revenue_ngn,annual_farm_yield_tons_per_ha,farm_size_ha,farming_experience_years,age,education_category,primary_crop,mobile_money_usage_frequency,creditworthiness_category,mobile_money_activity_score_1_10,cooperative_repayment_rate_percent,prior_loan_repayment_rate,has_off_farm_income,credit_score,gender,has_land_title,has_weather_insurance,smartphone_owner,cooperative_member,has_prior_loan,household_size
1267,27.92,68.6,72.9,17.8,23.6,14000.0,196000.0,1.35,0.36,15,31,No Formal Education,Beans,Monthly,Good,3,63,0.0,False,650,Female,False,False,True,True,False,14
536,37.08,25.9,49.7,28.7,23.3,5177143.0,35970000.0,34.67,4.15,23,39,Secondary Complete,Tomato,Weekly,Excellent,5,0,0.0,True,709,Male,False,False,True,False,False,7
4125,16.08,28.8,20.5,24.0,27.2,931200.0,9108000.0,10.88,2.99,38,54,Primary Complete,Yam,Daily,Fair,5,0,0.0,True,610,Male,False,False,True,False,False,10
1167,21.14,30.4,51.4,28.5,9.7,278091.0,3059000.0,4.2,2.08,26,42,Secondary Complete,Rice,Never,Good,1,0,0.0,False,620,Female,False,False,False,False,False,11
205,41.78,25.5,68.8,20.5,27.6,92286.0,1176000.0,12.0,0.35,11,52,Primary Complete,Yam,Never,Good,1,81,0.0,True,652,Male,False,False,False,True,False,14
530,22.08,35.4,84.5,6.3,21.0,72167.0,643000.0,2.81,1.27,26,42,Secondary Complete,Millet,Rarely,Fair,3,0,0.0,True,600,Male,False,False,True,False,False,12
1025,44.51,14.8,16.7,22.4,27.6,204615.0,2660000.0,8.87,0.6,9,25,Secondary Incomplete,Oil Palm,Never,Fair,1,0,0.0,False,584,Male,False,False,False,False,False,13
263,14.44,2.0,54.8,7.8,17.7,15222.0,137000.0,1.85,0.41,15,43,Primary Incomplete,Millet,Never,Good,1,73,0.83,False,620,Male,False,False,False,True,True,9
1131,17.69,33.4,4.4,23.9,21.0,114231.0,1160000.0,2.49,2.33,15,37,Secondary Complete,Maize,Never,Fair,1,0,0.0,True,605,Male,False,False,False,False,False,13
182,13.83,52.6,5.2,20.8,28.7,13143.0,184000.0,1.16,0.4,32,51,No Formal Education,Cowpea,Never,Very Poor,1,68,0.48,False,440,Male,False,False,False,True,True,14
815,9.84,52.2,70.4,23.8,23.0,18167.0,218000.0,3.02,0.36,32,50,Secondary Complete,Maize,Never,Fair,1,100,0.0,False,595,Male,False,False,False,True,False,12
2012,34.27,69.9,99.9,17.9,27.7,48286.0,228000.0,1.42,0.4,2,42,OND/NCE,Beans,Monthly,Good,2,0,0.0,True,640,Male,False,False,True,False,False,14
1105,30.33,44.9,12.3,20.9,24.1,237000.0,1422000.0,3.16,2.25,14,40,Secondary Incomplete,Maize,Never,Poor,1,0,0.0,False,537,Male,False,True,False,False,False,6
2763,8.32,6.4,113.2,21.3,20.0,104800.0,524000.0,3.23,0.81,6,22,Primary Incomplete,Maize,Monthly,Poor,10,0,0.6,False,537,Male,False,False,True,False,True,5
3164,31.38,60.4,81.0,29.8,29.1,111667.0,1340000.0,5.36,0.5,12,28,No Formal Education,Oil Palm,Daily,Fair,7,0,0.64,False,566,Male,False,False,True,False,True,12
1039,11.98,58.5,77.3,26.6,25.6,118333.0,710000.0,7.08,0.2,3,19,Secondary Complete,Oil Palm,Rarely,Good,5,75,0.0,False,624,Male,False,False,True,True,False,6
3147,42.22,43.4,12.7,25.7,20.7,204000.0,816000.0,4.3,0.95,20,44,OND/NCE,Maize,Monthly,Very Good,9,0,0.0,False,679,Male,False,False,True,False,False,4
4396,17.72,11.3,97.3,18.8,21.6,265714.0,1860000.0,1.38,3.37,24,43,Primary Incomplete,Cowpea,Monthly,Fair,9,83,0.79,False,609,Male,False,False,True,True,True,7
4297,21.7,68.2,130.2,18.8,25.9,174200.0,404000.0,1.5,0.67,1,16,HND/BSc,Cowpea,Monthly,Very Good,10,0,0.0,True,670,Female,False,False,True,False,False,5
1192,33.66,67.1,86.1,29.0,34.8,502000.0,2008000.0,28.35,0.59,26,47,Secondary Complete,Cassava,Weekly,Very Good,2,71,0.0,False,693,Male,False,False,True,True,False,4
4785,15.39,51.6,8.5,31.2,11.8,37000.0,518000.0,3.69,0.4,22,60,No Formal Education,Rice,Rarely,Good,6,82,0.0,False,622,Male,False,False,True,True,False,14
900,35.25,34.5,119.9,21.7,22.9,286800.0,1328000.0,11.54,0.36,3,62,No Formal Education,Vegetables,Never,Poor,1,0,0.0,True,501,Male,False,False,False,False,False,5
5491,14.49,6.8,83.4,21.7,24.3,19769.0,170000.0,2.31,0.37,8,31,No Formal Education,Maize,Weekly,Good,5,0,0.7,True,626,Female,False,False,True,False,True,13
2059,25.5,15.6,58.3,31.8,38.3,702385.0,9131000.0,23.27,3.27,10,57,Secondary Complete,Cassava,Monthly,Excellent,5,82,0.0,False,717,Male,False,False,True,True,False,13
586,31.38,39.4,16.6,28.5,25.9,291857.0,1876000.0,1.56,1.72,35,57,Primary Complete,Rubber,Never,Poor,1,0,0.0,True,543,Male,False,False,False,False,False,7
613,5.62,60.0,47.3,19.8,31.4,678000.0,4068000.0,12.21,1.19,32,57,Primary Complete,Yam,Never,Poor,1,0,0.0,False,559,Male,False,False,False,False,False,6
1125,43.49,56.2,77.9,26.0,23.3,224545.0,2470000.0,3.46,3.57,24,40,No Formal Education,Maize,Never,Poor,1,0,0.0,False,544,Male,False,False,False,False,False,11
3161,37.13,37.5,72.4,19.4,34.9,168571.0,2360000.0,14.28,0.59,14,30,HND/BSc,Yam,Rarely,Very Good,5,80,0.68,False,661,Male,False,False,True,True,True,14
1180,9.7,40.0,112.8,23.1,24.0,101000.0,404000.0,0.77,1.31,7,23,Primary Incomplete,Cowpea,Weekly,Poor,5,0,0.0,False,558,Male,False,False,True,False,False,4
586,28.46,39.9,101.8,23.8,20.3,252333.0,702000.0,3.11,1.13,22,38,No Formal Education,Maize,Never,Fair,1,0,0.0,True,568,Male,False,False,False,False,False,3
5437,15.24,17.8,110.6,20.4,25.9,361875.0,2895000.0,14.56,0.71,19,54,Secondary Complete,Yam,Weekly,Fair,4,0,0.0,False,578,Male,False,False,True,False,False,8
446,29.33,22.1,90.0,23.7,28.3,526000.0,1578000.0,0.66,3.98,10,26,Primary Complete,Sesame,Rarely,Poor,10,0,0.0,False,485,Male,False,False,True,False,False,3
4064,36.34,44.2,45.3,28.4,22.0,466778.0,3900000.0,1.27,2.05,10,59,Secondary Complete,Cocoa,Never,Good,1,0,0.0,True,641,Male,False,False,True,False,False,9
1043,36.23,17.0,38.5,30.3,42.3,465636.0,4762000.0,23.62,1.68,1,16,HND/BSc,Cassava,Never,Good,1,0,0.0,True,640,Male,False,False,False,False,False,11
3100,40.91,52.6,5.3,23.8,33.4,4595000.0,4595000.0,10.13,1.62,13,29,No Formal Education,Yam,Monthly,Very Good,7,67,0.65,False,661,Male,False,False,True,True,True,1
357,41.71,2.6,68.4,19.2,28.1,196000.0,156000.0,1.1,0.35,8,24,HND/BSc,Beans,Never,Very Good,1,67,0.0,True,676,Male,False,False,False,True,False,4
5675,24.67,18.9,122.9,21.4,22.1,78846.0,920000.0,6.82,0.27,34,51,Primary Incomplete,Oil Palm,Daily,Very Good,10,0,0.0,True,667,Female,False,False,True,False,False,13
5522,20.18,31.2,86.2,21.7,19.5,266714.0,1456000.0,1.25,2.91,18,34,Secondary Complete,Cowpea,Weekly,Very Good,8,0,0.0,True,695,Male,False,False,True,False,False,7
3633,5.53,58.1,95.9,24.1,27.1,7250.0,58000.0,2.65,0.11,25,41,No Formal Education,Maize,Never,Poor,1,0,0.0,False,548,Male,False,False,True,False,False,8
437,27.39,31.0,124.8,22.0,24.5,122500.0,360000.0,3.21,0.56,14,53,Primary Incomplete,Maize,Never,Poor,1,0,0.0,True,527,Male,False,False,False,False,False,4
648,7.07,13.0,89.1,22.3,20.2,162667.0,976000.0,2.65,1.84,1,16,HND/BSc,Maize,Never,Very Good,1,91,0.0,False,662,Male,False,False,False,True,False,6
468,43.43,46.4,114.6,27.7,24.3,471750.0,3580000.0,1.69,3.85,25,65,Primary Complete,Cotton,Never,Good,1,71,0.0,True,621,Female,False,False,False,True,False,8
660,23.95,59.4,20.9,25.9,21.6,158571.0,2220000.0,0.67,2.21,1,17,No Formal Education,Cocoa,Weekly,Poor,1,0,0.0,False,481,Male,False,False,True,False,False,14
3643,17.19,45.9,70.9,22.8,22.8,21545.0,156000.0,0.61,0.64,1,56,No Formal Education,Cowpea,Monthly,Very Good,4,64,0.0,True,686,Female,True,False,True,True,False,11
661,15.79,56.4,54.4,25.1,20.3,27857.0,210000.0,4.21,0.1,6,51,Primary Complete,Oil Palm,Never,Fair,1,80,0.0,True,617,Male,False,False,False,True,False,14
526,41.87,61.3,5.6,22.0,24.1,41556.0,282000.0,2.94,0.48,18,57,Primary Complete,Maize,Never,Good,1,0,0.0,True,622,Female,False,False,False,False,False,9
1711,18.85,42.9,15.8,20.1,26.1,350846.0,4561000.0,11.55,1.41,9,25,No Formal Education,Yam,Monthly,Fair,3,60,0.0,False,619,Male,False,False,True,True,False,13
919,44.63,52.8,32.5,18.3,21.7,265143.0,1856000.0,1.34,3.46,10,26,No Formal Education,Cowpea,Never,Poor,1,0,0.0,False,517,Male,False,False,False,False,False,7
4811,24.66,25.2,82.6,7.6,22.1,347000.0,1041000.0,2.9,1.89,8,24,No Formal Education,Guinea Corn,Monthly,Poor,7,0,0.0,False,548,Male,False,False,True,False,False,3
4023,43.08,66.0,18.9,21.0,23.6,79500.0,824000.0,1.42,1.45,21,37,Primary Complete,Beans,Monthly,Good,3,0,0.0,True,645,Female,False,False,True,False,False,12
137,44.37,13.7,61.7,22.5,27.4,260750.0,3129000.0,1.68,2.66,16,32,Secondary Complete,Rubber,Never,Fair,1,60,0.8,False,587,Male,False,False,False,True,True,12
230,40.3,33.0,63.2,6.7,21.8,262250.0,1049000.0,3.68,1.5,24,48,HND/BSc,Guinea Corn,Never,Fair,1,0,0.0,False,563,Male,False,False,False,False,False,4
1287,30.63,55.7,71.5,25.1,22.8,120000.0,270000.0,0.73,0.24,7,23,No Formal Education,Cocoa,Daily,Good,4,0,0.85,True,631,Male,False,False,True,False,True,3
1257,35.53,6.6,20.7,8.0,20.1,148778.0,1045000.0,2.82,1.95,28,44,Secondary Complete,Guinea Corn,Weekly,Excellent,10,92,0.0,True,759,Male,False,False,True,True,False,9
518,10.03,12.8,147.6,21.2,22.2,377800.0,1780000.0,1.18,3.77,28,44,Primary Complete,Cowpea,Never,Poor,1,0,0.0,True,542,Male,False,False,False,False,False,5
5361,40.33,19.0,61.9,22.1,24.2,727111.0,6474000.0,15.68,1.29,21,39,No Formal Education,Vegetables,Weekly,Very Good,4,0,0.0,True,690,Male,False,True,True,False,False,9
4009,8.65,46.5,88.7,6.6,21.9,111667.0,1340000.0,2.5,2.82,33,49,Secondary Incomplete,Guinea Corn,Weekly,Very Good,6,67,0.0,False,666,Male,False,True,True,True,False,12
2081,21.03,43.0,63.5,27.5,21.9,25833.0,310000.0,2.67,0.58,20,36,No Formal Education,Maize,Monthly,Fair,5,0,0.0,False,601,Male,False,False,True,False,False,12
3757,21.62,68.2,11.3,7.6,19.8,18143.0,101000.0,1.65,0.32,9,27,Primary Complete,Sorghum,Monthly,Excellent,7,97,0.0,True,743,Female,False,False,True,True,False,14
490,8.34,16.6,17.5,5.8,22.5,55778.0,502000.0,2.69,0.98,34,50,Secondary Complete,Sorghum,Never,Fair,1,0,0.0,False,585,Female,False,False,False,False,False,9
531,14.53,45.7,36.4,25.8,20.8,94889.0,854000.0,3.59,1.19,40,57,OND/NCE,Maize,Never,Very Good,1,75,0.0,False,681,Male,False,False,False,True,False,9
328,21.37,26.1,46.2,24.8,28.4,66750.0,316000.0,3.77,0.42,1,16,Secondary Complete,Maize,Monthly,Very Good,6,0,0.0,True,699,Female,False,False,True,False,False,8
2742,8.81,61.1,37.0,26.8,31.1,174667.0,524000.0,13.65,0.32,3,28,No Formal Education,Cassava,Weekly,Poor,9,0,0.0,False,537,Male,False,False,True,False,False,3
109,8.36,44.6,3.2,29.2,26.9,120125.0,904000.0,2.25,2.01,5,65,No Formal Education,Maize,Never,Fair,1,0,0.7,True,583,Female,False,False,False,False,True,8
484,29.8,4.3,47.0,20.1,28.3,22429.0,238000.0,2.53,0.47,10,38,Primary Incomplete,Maize,Never,Very Good,1,68,0.0,True,682,Male,False,False,False,True,False,14
2037,39.27,4.2,91.3,25.2,38.4,1269800.0,6349000.0,18.37,2.88,11,45,Primary Incomplete,Cassava,Weekly,Fair,5,0,0.0,False,587,Female,False,False,True,False,False,5
3210,28.25,51.3,108.1,33.6,7.6,187429.0,1012000.0,1.73,1.3,21,49,Secondary Complete,Groundnut,Monthly,Excellent,9,61,0.0,True,738,Female,False,False,True,True,False,7
2305,25.37,49.9,67.2,18.5,28.7,89692.0,1117000.0,10.79,0.37,30,64,No Formal Education,Yam,Daily,Fair,5,0,0.62,True,572,Male,False,False,True,False,True,13
3621,19.24,12.5,108.9,22.5,22.5,62333.0,414000.0,1.97,1.05,7,23,Primary Complete,Maize,Rarely,Good,8,0,0.0,True,621,Male,False,False,True,False,False,9
2718,38.62,67.1,90.8,21.0,22.6,35429.0,248000.0,3.03,0.41,11,27,No Formal Education,Maize,Weekly,Poor,2,0,0.0,False,507,Male,False,False,True,False,False,7
4260,27.11,18.2,27.8,22.4,25.3,339846.0,4418000.0,12.33,1.28,41,64,No Formal Education,Yam,Monthly,Good,7,78,0.0,False,659,Female,True,False,True,True,False,13
1790,10.02,62.1,57.5,34.7,9.8,109000.0,436000.0,1.77,0.55,34,62,No Formal Education,Groundnut,Never,Poor,1,90,0.5,False,542,Male,False,False,True,True,True,4
1082,10.01,20.9,54.1,22.0,21.0,19846.0,172000.0,0.88,0.49,2,18,No Formal Education,Cowpea,Never,Poor,1,0,0.0,True,550,Male,False,False,False,False,False,13
3773,23.25,36.2,46.5,17.8,33.1,178455.0,1879000.0,10.02,0.67,9,25,No Formal Education,Yam,Weekly,Good,1,72,0.0,True,631,Male,False,False,True,True,False,11
4178,14.21,48.3,82.1,31.7,40.0,145167.0,871000.0,14.53,0.5,20,60,No Formal Education,Cassava,Monthly,Fair,1,85,0.0,False,595,Male,False,False,True,True,False,6
1194,32.46,9.6,135.2,21.7,20.8,59750.0,186000.0,2.22,0.42,17,44,No Formal Education,Maize,Never,Fair,1,79,0.0,True,564,Male,False,False,False,True,False,4
364,38.37,22.9,103.9,18.9,25.5,177200.0,1772000.0,1.71,2.59,4,48,Secondary Complete,Cowpea,Monthly,Good,10,0,0.73,False,623,Male,False,False,True,False,True,10
985,23.55,35.5,144.9,24.1,21.8,100857.0,1270000.0,4.18,1.52,31,47,Primary Complete,Maize,Never,Fair,1,0,0.0,True,595,Male,False,False,False,False,False,14
487,10.04,31.9,47.3,32.3,29.1,64200.0,642000.0,19.12,0.28,22,43,Primary Complete,Cassava,Never,Fair,1,73,0.0,False,574,Male,False,False,False,True,False,10
1120,39.44,65.3,22.6,7.7,19.7,21714.0,304000.0,2.46,0.65,14,35,Primary Incomplete,Guinea Corn,Never,Poor,1,0,0.64,False,526,Male,False,False,False,False,True,14
504,26.54,21.3,94.3,20.8,22.9,88500.0,708000.0,0.73,1.62,1,20,Primary Complete,Sesame,Never,Poor,1,0,0.0,False,516,Male,False,False,False,False,False,8
390,33.55,19.1,1.6,22.7,20.7,261615.0,3220000.0,3.57,4.51,42,58,Primary Complete,Maize,Never,Fair,1,79,0.66,True,619,Male,False,False,False,True,True,13
2703,42.15,44.5,44.4,23.0,28.5,48538.0,526000.0,9.41,0.2,2,18,Primary Complete,Yam,Rarely,Very Good,7,0,0.0,True,676,Male,False,False,True,False,False,13
707,17.4,12.0,75.1,22.3,25.7,50800.0,254000.0,3.63,0.35,19,35,Secondary Incomplete,Maize,Weekly,Very Good,9,70,0.0,False,668,Male,False,False,True,True,False,5
1130,40.76,20.4,68.9,16.5,34.9,398300.0,3872000.0,8.7,1.59,16,59,No Formal Education,Yam,Never,Poor,1,0,0.75,True,551,Female,False,False,False,False,True,10
5530,42.39,66.9,114.0,24.5,34.1,23125.0,185000.0,13.99,0.11,7,23,Primary Complete,Cassava,Weekly,Fair,10,71,0.0,False,619,Male,False,False,True,True,False,8
4775,37.21,23.7,54.4,21.9,25.6,420429.0,2610000.0,1.48,2.94,29,62,Secondary Complete,Sesame,Rarely,Excellent,1,0,0.0,True,705,Male,False,False,True,False,False,7
408,7.91,52.0,75.1,21.9,26.3,451500.0,2580000.0,3.74,3.45,36,61,Primary Incomplete,Maize,Never,Poor,1,0,0.73,True,548,Male,False,False,False,False,True,6
1080,24.66,37.2,53.8,6.3,18.7,262833.0,1577000.0,1.98,4.19,18,34,Secondary Incomplete,Sorghum,Never,Fair,1,0,0.67,False,570,Male,False,False,False,False,True,6
3202,14.56,54.3,47.3,20.1,28.7,88818.0,912000.0,1.41,1.62,22,38,No Formal Education,Cowpea,Daily,Fair,5,0,0.0,True,614,Male,True,False,True,False,False,11
486,12.64,7.9,10.0,21.5,22.2,1176000.0,812000.0,1.22,1.66,4,20,Secondary Complete,Beans,Never,Fair,1,0,0.0,True,604,Male,False,False,False,False,False,1
2166,15.29,32.2,28.7,22.7,21.8,63833.0,192000.0,1.01,0.48,12,28,Primary Complete,Beans,Weekly,Very Good,4,0,0.0,True,684,Female,False,False,True,False,False,6
848,42.19,31.2,120.0,7.3,20.5,294750.0,2358000.0,3.42,3.63,17,33,Secondary Complete,Sorghum,Weekly,Good,5,0,0.82,False,645,Male,False,False,True,False,True,8
534,27.16,20.9,96.3,30.9,37.3,119929.0,1679000.0,19.43,0.72,29,45,OND/NCE,Cassava,Never,Poor,1,99,0.0,False,549,Male,False,False,False,True,False,14
4999,14.23,34.1,64.5,30.5,38.6,422500.0,5915000.0,21.62,2.28,37,57,Secondary Complete,Cassava,Rarely,Fair,3,0,0.65,False,607,Male,False,False,True,False,True,14
2387,16.95,66.6,105.1,7.9,17.6,41000.0,483000.0,2.33,1.09,25,51,No Formal Education,Guinea Corn,Monthly,Fair,8,0,0.0,True,602,Male,False,False,True,False,False,13
1455,41.7,70.0,65.0,20.8,21.9,451071.0,6315000.0,18.04,1.4,8,36,Primary Complete,Tomato,Weekly,Very Good,7,76,0.0,False,680,Female,False,False,True,True,False,14
143,33.47,4.6,10.5,7.1,19.9,80000.0,840000.0,1.89,2.34,26,42,Primary Complete,Sorghum,Never,Very Good,1,97,0.0,True,681,Male,False,False,False,True,False,12
955,30.66,66.0,124.0,28.7,25.5,319800.0,2992000.0,17.0,0.8,38,54,Primary Complete,Plantain,Never,Fair,1,0,0.0,True,584,Male,False,False,False,False,False,10
916,8.38,49.7,4.9,26.3,20.4,127636.0,1404000.0,0.99,3.55,20,60,No Formal Education,Beans,Never,Poor,1,0,0.0,False,488,Male,False,False,False,False,False,11
4427,6.79,69.7,54.2,22.0,26.1,92000.0,828000.0,0.73,2.83,1,37,No Formal Education,Cowpea,Monthly,Very Poor,10,0,0.42,False,472,Male,False,False,True,False,True,9
1164,13.48,47.1,97.7,24.9,22.0,137929.0,1760000.0,1.12,3.93,4,65,Secondary Incomplete,Beans,Never,Poor,1,0,0.0,True,522,Female,False,False,False,False,False,14
483,35.7,6.8,42.2,29.5,28.0,75769.0,755000.0,4.44,0.34,4,32,Secondary Complete,Oil Palm,Never,Fair,1,0,0.0,True,610,Male,False,False,False,False,False,13
3639,21.9,52.2,23.9,20.5,20.1,36333.0,436000.0,1.76,0.62,10,61,OND/NCE,Beans,Weekly,Very Good,2,0,0.0,False,682,Female,False,False,True,False,False,12
4409,13.0,13.7,88.5,22.4,36.4,1614667.0,4844000.0,28.23,1.43,28,44,Primary Complete,Cassava,Rarely,Good,10,0,0.0,False,631,Male,True,False,True,False,False,3
1649,14.51,45.4,41.0,32.6,41.9,1524667.0,4574000.0,20.17,1.89,15,35,Secondary Complete,Cassava,Rarely,Fair,1,0,0.0,False,610,Male,False,False,True,False,False,3
4093,16.99,37.3,46.8,7.8,18.9,96417.0,804000.0,2.9,1.46,15,40,Secondary Complete,Sorghum,Weekly,Very Good,4,0,0.0,True,682,Male,False,False,True,False,False,12
349,11.38,21.0,15.2,28.0,8.4,23727.0,261000.0,1.23,0.47,5,65,Secondary Complete,Groundnut,Never,Poor,1,0,0.0,False,537,Male,False,False,False,False,False,11
2299,25.05,25.9,93.2,18.5,31.6,818889.0,7370000.0,13.16,2.0,29,45,OND/NCE,Yam,Weekly,Very Good,7,0,0.0,False,684,Male,True,False,True,False,False,9
291,11.52,41.5,129.4,21.1,27.7,232500.0,1860000.0,0.83,1.49,2,19,No Formal Education,Cocoa,Never,Very Poor,1,0,0.0,False,475,Male,False,False,False,False,False,8
3804,37.49,20.3,63.2,23.4,33.7,148444.0,1336000.0,10.37,0.46,4,20,Primary Complete,Yam,Monthly,Poor,9,0,0.69,False,554,Male,False,False,True,False,True,9
1030,37.12,40.7,60.0,25.8,20.0,205667.0,1652000.0,1.16,3.56,12,28,Secondary Complete,Cowpea,Never,Good,1,0,0.0,True,633,Male,False,False,False,False,False,9
679,31.97,62.1,123.9,21.3,28.4,27385.0,356000.0,1.75,0.51,25,41,Secondary Complete,Cowpea,Never,Poor,1,0,0.0,False,558,Male,False,False,False,False,False,13
830,23.35,8.0,15.9,19.1,36.1,112250.0,1347000.0,13.01,0.37,12,40,HND/BSc,Yam,Never,Poor,1,0,0.0,False,532,Female,False,False,False,False,False,12
524,17.23,66.9,48.9,6.7,17.8,76000.0,684000.0,2.02,1.78,16,32,Primary Complete,Sorghum,Rarely,Good,1,65,0.79,False,633,Male,False,False,True,True,True,9
4875,9.02,47.1,47.2,21.0,27.2,105231.0,1368000.0,1.42,2.41,28,62,Secondary Incomplete,Cowpea,Monthly,Very Good,10,67,0.0,False,678,Male,False,False,True,True,False,13
380,31.35,31.0,65.1,22.7,20.7,38600.0,236000.0,3.68,0.32,1,16,Secondary Incomplete,Maize,Rarely,Fair,6,0,0.0,True,612,Male,False,False,True,False,False,10
909,32.74,3.2,67.9,25.3,29.2,182750.0,1890000.0,1.35,0.93,17,59,Secondary Complete,Cocoa,Weekly,Excellent,1,100,0.81,True,750,Male,False,False,True,True,True,12
884,33.34,29.5,23.7,22.1,21.0,83778.0,754000.0,3.59,1.05,24,60,Primary Complete,Maize,Monthly,Fair,8,0,0.0,False,606,Female,False,False,True,False,False,9
1132,8.19,47.3,74.2,26.6,9.8,656333.0,3938000.0,3.31,3.4,17,35,Primary Complete,Rice,Never,Poor,1,0,0.61,False,522,Male,False,False,False,False,True,6
3081,19.92,68.1,33.7,24.2,26.8,128700.0,1204000.0,1.33,2.26,19,35,No Formal Education,Cowpea,Weekly,Good,8,0,0.0,True,653,Female,False,False,True,False,False,10
3787,32.12,59.1,139.1,29.1,26.5,480333.0,4051000.0,16.88,0.75,7,23,Secondary Complete,Vegetables,Monthly,Good,8,0,0.0,True,641,Male,False,False,True,False,False,9
4369,14.43,50.8,43.1,25.5,8.9,272333.0,1634000.0,3.99,1.17,37,60,Secondary Complete,Rice,Weekly,Good,4,0,0.0,False,655,Male,False,False,True,False,False,6
976,5.22,28.9,5.7,25.4,21.5,106833.0,856000.0,1.2,1.78,1,17,OND/NCE,Beans,Never,Good,1,0,0.0,True,624,Female,False,False,False,False,False,12
110,25.5,6.9,63.4,23.6,41.1,544583.0,6535000.0,23.68,2.3,3,43,HND/BSc,Cassava,Never,Poor,1,0,0.53,False,537,Male,True,False,False,False,True,12
356,34.04,58.3,98.2,28.0,25.9,269000.0,1245000.0,0.92,0.9,1,17,No Formal Education,Cocoa,Weekly,Poor,4,0,0.52,True,523,Male,False,False,True,False,True,5
102,39.4,21.2,54.9,23.3,25.5,24308.0,316000.0,11.31,0.1,6,22,Primary Incomplete,Yam,Never,Fair,1,66,0.0,False,560,Male,False,False,False,True,False,13
1194,11.42,47.3,86.7,22.1,20.3,53417.0,560000.0,2.52,1.11,18,41,No Formal Education,Maize,Daily,Excellent,4,65,0.0,True,706,Male,False,True,True,True,False,12
581,17.84,18.8,12.8,29.7,11.5,187250.0,640000.0,3.45,0.53,2,18,Primary Complete,Rice,Never,Fair,1,0,0.63,True,596,Male,False,False,False,False,True,4
4050,6.84,16.1,15.0,22.7,22.1,29556.0,266000.0,3.79,0.35,22,38,Primary Complete,Maize,Daily,Fair,5,94,0.0,False,596,Female,False,False,True,True,False,9
183,18.46,52.0,119.6,28.2,41.2,75222.0,677000.0,14.85,0.38,13,35,No Formal Education,Cassava,Never,Fair,1,88,0.0,False,563,Male,False,False,False,True,False,9
1097,9.32,46.8,37.5,28.7,20.4,2688000.0,24192000.0,19.05,5.08,1,16,Primary Complete,Tomato,Never,Poor,1,74,0.53,False,511,Male,False,False,False,True,True,9
2557,17.03,24.0,22.3,29.3,19.3,224000.0,672000.0,4.48,0.75,24,40,OND/NCE,Maize,Rarely,Excellent,5,91,0.0,False,718,Male,False,False,True,True,False,3
1737,36.68,50.8,85.1,21.8,23.4,21091.0,232000.0,1.41,0.41,31,47,Primary Incomplete,Cowpea,Never,Poor,1,0,0.0,False,533,Male,False,False,True,False,False,11
573,12.83,21.0,26.8,23.4,20.4,184000.0,2208000.0,3.0,3.68,25,53,Primary Complete,Maize,Never,Fair,1,0,0.78,False,587,Male,False,False,False,False,True,12
4148,33.41,19.7,35.0,26.5,28.8,184400.0,562000.0,3.27,0.86,36,64,OND/NCE,Maize,Weekly,Excellent,5,0,0.0,True,702,Male,False,False,True,False,False,5
681,36.63,20.1,50.7,5.6,17.7,96143.0,673000.0,3.05,1.16,12,28,Primary Complete,Sorghum,Never,Fair,1,84,0.0,False,587,Male,False,False,False,True,False,7
5833,27.24,69.6,83.1,24.7,22.1,64000.0,640000.0,2.3,1.39,42,58,Primary Incomplete,Maize,Monthly,Good,6,95,0.6,False,648,Male,False,False,True,True,True,10
688,27.38,67.6,81.5,20.2,20.2,70545.0,688000.0,3.02,1.14,23,39,Primary Incomplete,Maize,Never,Good,1,66,0.0,True,638,Female,False,False,False,True,False,11
3842,11.02,46.8,47.8,29.0,28.3,27545.0,114000.0,2.71,0.21,3,19,Primary Complete,Maize,Never,Good,1,80,0.0,True,657,Male,False,False,True,True,False,11
1006,41.31,22.5,17.7,23.9,28.3,224750.0,899000.0,9.72,0.33,4,41,No Formal Education,Yam,Never,Very Poor,1,0,0.45,False,419,Male,False,False,False,False,True,4
912,12.52,49.2,30.6,28.8,21.7,950000.0,2850000.0,0.99,1.92,13,29,Primary Complete,Cocoa,Never,Poor,1,0,0.79,False,525,Female,False,False,False,False,True,3
1635,31.74,5.2,4.4,27.9,11.0,178571.0,1096000.0,3.86,0.81,35,60,Secondary Incomplete,Rice,Monthly,Very Good,8,0,0.0,True,688,Female,False,False,True,False,False,7
4097,10.68,59.5,29.9,24.9,32.6,651700.0,6517000.0,22.63,2.4,30,52,Secondary Incomplete,Cassava,Weekly,Very Good,10,74,0.0,False,690,Female,False,False,True,True,False,10
1077,22.16,29.6,38.5,29.4,28.0,48750.0,195000.0,0.67,0.2,8,24,Primary Complete,Cocoa,Never,Poor,1,0,0.0,False,518,Male,False,False,False,False,False,4
2698,32.65,40.6,14.6,19.5,21.7,15143.0,212000.0,1.15,0.46,14,60,Primary Incomplete,Cowpea,Daily,Poor,4,0,0.54,False,523,Male,True,False,True,False,True,14
302,27.99,19.1,125.7,7.9,20.2,267800.0,1179000.0,2.52,2.6,7,23,Primary Complete,Millet,Monthly,Fair,6,0,0.0,True,588,Male,False,False,True,False,False,5
327,13.95,66.8,26.5,22.9,26.2,108600.0,352000.0,4.4,0.4,18,34,Primary Complete,Maize,Never,Good,1,0,0.0,True,635,Female,False,False,False,False,False,5
